experimentName,articleId,topology,meanDualGap,meanAgreement,meanDiscreteMI,meanContinuousMI
T2d_H_echo_chamber_conspiracy_depopulation,climate_consensus,echo_chamber,0.1295,1,5,4.8705
T2d_H_echo_chamber_conspiracy_depopulation,polar_bears,echo_chamber,0.9094,0.25,0.913,0.0036
T2d_H_echo_chamber_conspiracy_haarp_weather,scopex_2017,echo_chamber,1.5792,0.2138,3.9931,2.8986
T2d_H_echo_chamber_conspiracy_haarp_weather,chemtrails_gates_2018_2021,echo_chamber,0.8721,0.6347,4.625,3.7721
T2d_H_echo_chamber_conspiracy_haarp_weather,sai_geoengineering,echo_chamber,1.5106,0.4495,1.9574,0.5248
T2d_H_echo_chamber_conspiracy_haarp_weather,paris_agreement,echo_chamber,1.3527,0.3256,3.814,2.7744
T2d_H_echo_chamber_conspiracy_haarp_weather,climate_consensus,echo_chamber,0.0172,1,5,4.9828
T2d_H_echo_chamber_conspiracy_haarp_weather,polar_bears,echo_chamber,0.5429,,0.5429,0
T2d_H_echo_chamber_environmental_concern,scopex_2017,echo_chamber,0.1596,1,0.1773,0.0319
T2d_H_echo_chamber_environmental_concern,chemtrails_gates_2018_2021,echo_chamber,1.0858,0.8538,1.875,0.7892
T2d_H_echo_chamber_environmental_concern,sai_geoengineering,echo_chamber,,,,
T2d_H_echo_chamber_environmental_concern,paris_agreement,echo_chamber,0.3929,0.7357,0.4786,0.0857
T2d_H_echo_chamber_environmental_concern,climate_consensus,echo_chamber,0.6213,1,0.625,0.011
T2d_H_echo_chamber_environmental_concern,polar_bears,echo_chamber,1.219,-0.1345,1.2336,0.0365
T2d_H_echo_chamber_mitigation_first_policy,scopex_2017,echo_chamber,0.066,,0.066,0
T2d_H_echo_chamber_mitigation_first_policy,chemtrails_gates_2018_2021,echo_chamber,0.1529,1,0.1691,0.0162
T2d_H_echo_chamber_mitigation_first_policy,sai_geoengineering,echo_chamber,,,,
T2d_H_echo_chamber_mitigation_first_policy,paris_agreement,echo_chamber,1.1488,0.6124,1.1653,0.0165
T2d_H_echo_chamber_mitigation_first_policy,climate_consensus,echo_chamber,0.5808,0.8062,0.5923,0.0115
T2d_H_echo_chamber_mitigation_first_policy,polar_bears,echo_chamber,0.6071,,0.6071,0
T2d_H_echo_chamber_ozone_stratosphere_specialist,scopex_2017,echo_chamber,0.0071,,0.0071,0
T2d_H_echo_chamber_ozone_stratosphere_specialist,chemtrails_gates_2018_2021,echo_chamber,1.0144,0.9639,1.9209,0.9065
T2d_H_echo_chamber_ozone_stratosphere_specialist,sai_geoengineering,echo_chamber,1.0815,1,1.0815,0.0222
T2d_H_echo_chamber_ozone_stratosphere_specialist,paris_agreement,echo_chamber,0.4662,0.5993,0.6615,0.2631
T2d_H_echo_chamber_ozone_stratosphere_specialist,climate_consensus,echo_chamber,,,,
T2d_H_echo_chamber_ozone_stratosphere_specialist,polar_bears,echo_chamber,,,,
T2d_H_echo_chamber_science_journalist,scopex_2017,echo_chamber,0.146,,0.146,0
T2d_H_echo_chamber_science_journalist,chemtrails_gates_2018_2021,echo_chamber,0,,0,0
T2d_H_echo_chamber_science_journalist,sai_geoengineering,echo_chamber,1.0021,0.7245,1.0352,0.0401
T2d_H_echo_chamber_science_journalist,paris_agreement,echo_chamber,0.4359,1,0.4615,0.0256
T2d_H_echo_chamber_science_journalist,climate_consensus,echo_chamber,,,,
T2d_H_echo_chamber_science_journalist,polar_bears,echo_chamber,1.375,,1.375,0
T2d_H_hierarchical_biodiversity_food_security,scopex_2017,hierarchical,0.5263,1,0.5439,0.0175
T2d_H_hierarchical_biodiversity_food_security,chemtrails_gates_2018_2021,hierarchical,0.9429,1,1.8857,0.9429
T2d_H_hierarchical_biodiversity_food_security,sai_geoengineering,hierarchical,0.775,0.5281,0.8333,0.0583
T2d_H_hierarchical_biodiversity_food_security,paris_agreement,hierarchical,0.403,,0.3881,0.0149
T2d_H_hierarchical_biodiversity_food_security,climate_consensus,hierarchical,,,,
T2d_H_hierarchical_biodiversity_food_security,polar_bears,hierarchical,0.8235,,0.8235,0
T2d_H_hierarchical_climate_action_advocate,scopex_2017,hierarchical,0.2903,0.6723,0.4032,0.1129
T2d_H_hierarchical_climate_action_advocate,chemtrails_gates_2018_2021,hierarchical,1,0.9718,1.9298,0.9298
T2d_H_hierarchical_climate_action_advocate,sai_geoengineering,hierarchical,,,,
T2d_H_hierarchical_climate_action_advocate,paris_agreement,hierarchical,0.2,,0.1538,0.0462
T2d_H_hierarchical_climate_action_advocate,climate_consensus,hierarchical,0.7078,0.9031,0.7403,0.0455
T2d_H_hierarchical_climate_action_advocate,polar_bears,hierarchical,,,,
T2d_H_hierarchical_climate_justice_youth,scopex_2017,hierarchical,1.118,0.468,1.2623,0.1836
T2d_H_hierarchical_climate_justice_youth,chemtrails_gates_2018_2021,hierarchical,1,1,2,1
T2d_H_hierarchical_climate_justice_youth,sai_geoengineering,hierarchical,1.3289,0.8027,1.3684,0.0395
T2d_H_hierarchical_climate_justice_youth,paris_agreement,hierarchical,0.1746,,0.1746,0
T2d_H_hierarchical_climate_justice_youth,climate_consensus,hierarchical,1.4577,0.9545,1.6197,0.1901
T2d_H_hierarchical_climate_justice_youth,polar_bears,hierarchical,0.9357,,0.9286,0.0071
T2d_H_hierarchical_climate_scientist,scopex_2017,hierarchical,0,,0,0
T2d_H_hierarchical_climate_scientist,chemtrails_gates_2018_2021,hierarchical,0.093,1,0.186,0.093
T2d_H_hierarchical_climate_scientist,sai_geoengineering,hierarchical,1.5556,,1.5556,0
T2d_H_hierarchical_climate_scientist,paris_agreement,hierarchical,,,,
T2d_H_hierarchical_climate_scientist,climate_consensus,hierarchical,0.6418,,0.6418,0
T2d_H_hierarchical_climate_scientist,polar_bears,hierarchical,1.5,,1.5,0
T2d_H_hierarchical_conspiracy_believer,scopex_2017,hierarchical,1.7183,0.3659,3.5775,1.9437
T2d_H_hierarchical_conspiracy_believer,chemtrails_gates_2018_2021,hierarchical,0.8657,0.8827,3,2.22
T2d_H_hierarchical_conspiracy_believer,sai_geoengineering,hierarchical,1.5397,-0.0908,1.5873,0.1111
T2d_H_hierarchical_conspiracy_believer,paris_agreement,hierarchical,0.4413,0.233,4.6667,4.2653
T2d_H_hierarchical_conspiracy_believer,climate_consensus,hierarchical,0,,5,5
T2d_H_hierarchical_conspiracy_believer,polar_bears,hierarchical,0.9274,,1.129,0.2016
T2d_H_hierarchical_conspiracy_climate_piggyback,scopex_2017,hierarchical,1.44,0.5825,2.5231,1.2677
T2d_H_hierarchical_conspiracy_climate_piggyback,chemtrails_gates_2018_2021,hierarchical,0.9368,0.7624,3.7941,2.9809
T2d_H_hierarchical_conspiracy_climate_piggyback,sai_geoengineering,hierarchical,1.5069,0.4061,1.7778,0.2847
T2d_H_hierarchical_conspiracy_climate_piggyback,paris_agreement,hierarchical,,,,
T2d_H_hierarchical_conspiracy_climate_piggyback,climate_consensus,hierarchical,0.3,0.6973,4.4348,4.5043
T2d_H_hierarchical_conspiracy_climate_piggyback,polar_bears,hierarchical,0.7059,,0.7059,0
T2d_H_hierarchical_conspiracy_depopulation,scopex_2017,hierarchical,1.6691,-0.0022,4.1029,2.6397
T2d_H_hierarchical_conspiracy_depopulation,chemtrails_gates_2018_2021,hierarchical,0.9741,0.6964,4.0517,3.1362
T2d_H_hierarchical_conspiracy_depopulation,sai_geoengineering,hierarchical,,,,
T2d_H_hierarchical_conspiracy_depopulation,paris_agreement,hierarchical,,,,
T2d_H_hierarchical_conspiracy_depopulation,climate_consensus,hierarchical,0.1775,0.6124,4.9437,4.8789
T2d_H_hierarchical_conspiracy_depopulation,polar_bears,hierarchical,,,,
T2d_H_hierarchical_conspiracy_haarp_weather,scopex_2017,hierarchical,1.7342,0.1673,3.6986,2.1836
T2d_H_hierarchical_conspiracy_haarp_weather,chemtrails_gates_2018_2021,hierarchical,1.0273,0.9,3.6667,2.6545
T2d_H_hierarchical_conspiracy_haarp_weather,sai_geoengineering,hierarchical,1.2111,0.5635,1.2667,1.1444
T2d_H_hierarchical_conspiracy_haarp_weather,paris_agreement,hierarchical,1.266,0.4333,3.3,2.114
T2d_H_hierarchical_conspiracy_haarp_weather,climate_consensus,hierarchical,0.1308,,4.9385,4.9308
T2d_H_hierarchical_conspiracy_haarp_weather,polar_bears,hierarchical,0.8295,0.9031,0.8636,0.0568
T2d_H_hierarchical_environmental_concern,scopex_2017,hierarchical,0,,0,0
T2d_H_hierarchical_environmental_concern,chemtrails_gates_2018_2021,hierarchical,0.9831,0.9841,2,1.0169
T2d_H_hierarchical_environmental_concern,sai_geoengineering,hierarchical,1.0377,0.875,1.0377,0.1509
T2d_H_hierarchical_environmental_concern,paris_agreement,hierarchical,0.2609,,0.2609,0
T2d_H_hierarchical_environmental_concern,climate_consensus,hierarchical,0.6587,0.8708,0.6825,0.0556
T2d_H_hierarchical_environmental_concern,polar_bears,hierarchical,0.6275,,0.6275,0
T2d_H_hierarchical_mitigation_first_policy,scopex_2017,hierarchical,0.4655,,0.4655,0
T2d_H_hierarchical_mitigation_first_policy,chemtrails_gates_2018_2021,hierarchical,,,,
T2d_H_hierarchical_mitigation_first_policy,sai_geoengineering,hierarchical,1.24,0.6124,1.24,0.04
T2d_H_hierarchical_mitigation_first_policy,paris_agreement,hierarchical,0.3784,,0.3784,0
T2d_H_hierarchical_mitigation_first_policy,climate_consensus,hierarchical,0.6042,0.6124,0.625,0.0347
T2d_H_hierarchical_mitigation_first_policy,polar_bears,hierarchical,,,,
T2d_H_hierarchical_ozone_stratosphere_specialist,scopex_2017,hierarchical,0.1,1,0.1077,0.0077
T2d_H_hierarchical_ozone_stratosphere_specialist,chemtrails_gates_2018_2021,hierarchical,1.0714,0.8876,2.0143,0.9429
T2d_H_hierarchical_ozone_stratosphere_specialist,sai_geoengineering,hierarchical,0.9667,0.6124,0.9667,0.0667
T2d_H_hierarchical_ozone_stratosphere_specialist,paris_agreement,hierarchical,0.3768,0.6124,0.3913,0.0435
T2d_H_hierarchical_ozone_stratosphere_specialist,climate_consensus,hierarchical,0.9766,0.8062,1,0.0234
T2d_H_hierarchical_ozone_stratosphere_specialist,polar_bears,hierarchical,,,,
T2d_H_hierarchical_science_journalist,scopex_2017,hierarchical,0,,0,0
T2d_H_hierarchical_science_journalist,chemtrails_gates_2018_2021,hierarchical,0.0615,1,0.0769,0.0154
T2d_H_hierarchical_science_journalist,sai_geoengineering,hierarchical,1.2742,0.9186,1.2903,0.0806
T2d_H_hierarchical_science_journalist,paris_agreement,hierarchical,,,,
T2d_H_hierarchical_science_journalist,climate_consensus,hierarchical,,,,
T2d_H_hierarchical_science_journalist,polar_bears,hierarchical,1.0806,0.4177,1.129,0.0806
T2d_H_linear_chain_biodiversity_food_security,scopex_2017,linear_chain,0.625,-0.0153,0.75,0.375
T2d_H_linear_chain_biodiversity_food_security,chemtrails_gates_2018_2021,linear_chain,1.1,0.9359,2,0.9
T2d_H_linear_chain_biodiversity_food_security,sai_geoengineering,linear_chain,0.8333,0.6124,0.8333,0.3333
T2d_H_linear_chain_biodiversity_food_security,paris_agreement,linear_chain,0.375,,0.375,0
T2d_H_linear_chain_biodiversity_food_security,climate_consensus,linear_chain,1.1625,0.7854,1.625,0.4625
T2d_H_linear_chain_biodiversity_food_security,polar_bears,linear_chain,1.5,,1.5,0
T2d_H_linear_chain_climate_action_advocate,scopex_2017,linear_chain,1,,1,0
T2d_H_linear_chain_climate_action_advocate,chemtrails_gates_2018_2021,linear_chain,1,1,2,1
T2d_H_linear_chain_climate_action_advocate,sai_geoengineering,linear_chain,1.375,0.7041,1.5,0.125
T2d_H_linear_chain_climate_action_advocate,paris_agreement,linear_chain,0.125,,0.125,0
T2d_H_linear_chain_climate_action_advocate,climate_consensus,linear_chain,1.1875,0.4082,1.25,0.0625
T2d_H_linear_chain_climate_action_advocate,polar_bears,linear_chain,1.125,,1.125,0
T2d_H_linear_chain_climate_justice_youth,scopex_2017,linear_chain,2.25,0.239,3,0.75
T2d_H_linear_chain_climate_justice_youth,chemtrails_gates_2018_2021,linear_chain,1,1,2,1
T2d_H_linear_chain_climate_justice_youth,sai_geoengineering,linear_chain,1.4375,0.971,1.75,0.3125
T2d_H_linear_chain_climate_justice_youth,paris_agreement,linear_chain,0,,0,0
T2d_H_linear_chain_climate_justice_youth,climate_consensus,linear_chain,0.5,,0.5,0
T2d_H_linear_chain_climate_justice_youth,polar_bears,linear_chain,1,,1,0
T2d_H_linear_chain_climate_scientist,scopex_2017,linear_chain,0.5,,0.5,0
T2d_H_linear_chain_climate_scientist,chemtrails_gates_2018_2021,linear_chain,0,,0,0
T2d_H_linear_chain_climate_scientist,sai_geoengineering,linear_chain,1,,1,0
T2d_H_linear_chain_climate_scientist,paris_agreement,linear_chain,0.5,,0.5,0
T2d_H_linear_chain_climate_scientist,climate_consensus,linear_chain,0.5,,0.5,0
T2d_H_linear_chain_climate_scientist,polar_bears,linear_chain,2,,2,0
T2d_H_linear_chain_conspiracy_believer,scopex_2017,linear_chain,2.5,-0.147,3.75,1.25
T2d_H_linear_chain_conspiracy_believer,chemtrails_gates_2018_2021,linear_chain,0.625,0.5901,3.75,3.375
T2d_H_linear_chain_conspiracy_believer,sai_geoengineering,linear_chain,1.375,,1,0.375
T2d_H_linear_chain_conspiracy_believer,paris_agreement,linear_chain,,,,
T2d_H_linear_chain_conspiracy_believer,climate_consensus,linear_chain,0,,4.375,4.375
T2d_H_linear_chain_conspiracy_believer,polar_bears,linear_chain,0.25,,0.25,0
T2d_H_linear_chain_conspiracy_climate_piggyback,scopex_2017,linear_chain,0,1,1,1
T2d_H_linear_chain_conspiracy_climate_piggyback,chemtrails_gates_2018_2021,linear_chain,1.4375,0.9094,4,2.5625
T2d_H_linear_chain_conspiracy_climate_piggyback,sai_geoengineering,linear_chain,0.875,,0.875,0
T2d_H_linear_chain_conspiracy_climate_piggyback,paris_agreement,linear_chain,0.7625,0.6045,4.5,3.7375
T2d_H_linear_chain_conspiracy_climate_piggyback,climate_consensus,linear_chain,0.5429,0.6735,4.5714,4.1714
T2d_H_linear_chain_conspiracy_climate_piggyback,polar_bears,linear_chain,0.875,,0.875,0
T2d_H_linear_chain_conspiracy_depopulation,scopex_2017,linear_chain,1.5625,0.4941,3.875,2.4375
T2d_H_linear_chain_conspiracy_depopulation,chemtrails_gates_2018_2021,linear_chain,1.0625,0.5064,4.5,3.4375
T2d_H_linear_chain_conspiracy_depopulation,sai_geoengineering,linear_chain,1.8571,0.5407,2.2857,0.4286
T2d_H_linear_chain_conspiracy_depopulation,paris_agreement,linear_chain,,,,
T2d_H_linear_chain_conspiracy_depopulation,climate_consensus,linear_chain,,,,
T2d_H_linear_chain_conspiracy_depopulation,polar_bears,linear_chain,1.5625,-0.4082,1.625,0.0625
T2d_H_linear_chain_conspiracy_haarp_weather,scopex_2017,linear_chain,2.575,0.5803,3.875,1.3
T2d_H_linear_chain_conspiracy_haarp_weather,chemtrails_gates_2018_2021,linear_chain,1.5,0.9364,4,2.5
T2d_H_linear_chain_conspiracy_haarp_weather,sai_geoengineering,linear_chain,1.8125,0.5715,2.5,0.9375
T2d_H_linear_chain_conspiracy_haarp_weather,paris_agreement,linear_chain,1.9375,0.1361,4.25,2.8125
T2d_H_linear_chain_conspiracy_haarp_weather,climate_consensus,linear_chain,0,,5,5
T2d_H_linear_chain_conspiracy_haarp_weather,polar_bears,linear_chain,0.75,,0.75,0
T2d_H_linear_chain_environmental_concern,scopex_2017,linear_chain,0,,0,0
T2d_H_linear_chain_environmental_concern,chemtrails_gates_2018_2021,linear_chain,0.875,1,1.75,0.875
T2d_H_linear_chain_environmental_concern,sai_geoengineering,linear_chain,1,,1,0
T2d_H_linear_chain_environmental_concern,paris_agreement,linear_chain,1.625,,1.625,0
T2d_H_linear_chain_environmental_concern,climate_consensus,linear_chain,1.1875,0.8062,1.375,0.1875
T2d_H_linear_chain_environmental_concern,polar_bears,linear_chain,0.75,,0.75,0
T2d_H_linear_chain_mitigation_first_policy,scopex_2017,linear_chain,0.75,,0.75,0
T2d_H_linear_chain_mitigation_first_policy,chemtrails_gates_2018_2021,linear_chain,0.625,1,1,0.375
T2d_H_linear_chain_mitigation_first_policy,sai_geoengineering,linear_chain,1.375,,1.375,0
T2d_H_linear_chain_mitigation_first_policy,paris_agreement,linear_chain,1,0.6124,1.1667,0.1667
T2d_H_linear_chain_mitigation_first_policy,climate_consensus,linear_chain,1,,1,0
T2d_H_linear_chain_mitigation_first_policy,polar_bears,linear_chain,0.875,,0.875,0
T2d_H_linear_chain_ozone_stratosphere_specialist,scopex_2017,linear_chain,0.125,1,0.25,0.125
T2d_H_linear_chain_ozone_stratosphere_specialist,chemtrails_gates_2018_2021,linear_chain,0.6875,1,1.375,0.6875
T2d_H_linear_chain_ozone_stratosphere_specialist,sai_geoengineering,linear_chain,1.5,,1.5,0
T2d_H_linear_chain_ozone_stratosphere_specialist,paris_agreement,linear_chain,0.6667,,0.6667,0
T2d_H_linear_chain_ozone_stratosphere_specialist,climate_consensus,linear_chain,1.1429,,1.1429,0
T2d_H_linear_chain_ozone_stratosphere_specialist,polar_bears,linear_chain,0.875,,0.875,0
T2d_H_linear_chain_science_journalist,scopex_2017,linear_chain,0,,0,0
T2d_H_linear_chain_science_journalist,chemtrails_gates_2018_2021,linear_chain,0,,0,0
T2d_H_linear_chain_science_journalist,sai_geoengineering,linear_chain,1.375,,1.375,0
T2d_H_linear_chain_science_journalist,paris_agreement,linear_chain,0.5,,0.5,0
T2d_H_linear_chain_science_journalist,climate_consensus,linear_chain,1,,1,0
T2d_H_linear_chain_science_journalist,polar_bears,linear_chain,0.875,,0.875,0
T2d_H_polarized_biodiversity_food_security,scopex_2017,polarized,,,,
T2d_H_polarized_biodiversity_food_security,chemtrails_gates_2018_2021,polarized,1,1,2,1
T2d_H_polarized_biodiversity_food_security,sai_geoengineering,polarized,2,,2,0
T2d_H_polarized_biodiversity_food_security,paris_agreement,polarized,0,,0,0
T2d_H_polarized_biodiversity_food_security,climate_consensus,polarized,0,,0,0
T2d_H_polarized_biodiversity_food_security,polar_bears,polarized,2,,2,0
T2d_H_polarized_climate_action_advocate,scopex_2017,polarized,0,,0,0
T2d_H_polarized_climate_action_advocate,chemtrails_gates_2018_2021,polarized,0,,0,0
T2d_H_polarized_climate_action_advocate,sai_geoengineering,polarized,1,,1,0
T2d_H_polarized_climate_action_advocate,paris_agreement,polarized,1,,1,0
T2d_H_polarized_climate_action_advocate,climate_consensus,polarized,0.375,,0.375,0
T2d_H_polarized_climate_action_advocate,polar_bears,polarized,,,,
T2d_H_polarized_climate_justice_youth,scopex_2017,polarized,2,0.5103,2.5,0.5
T2d_H_polarized_climate_justice_youth,chemtrails_gates_2018_2021,polarized,0,,0,0
T2d_H_polarized_climate_justice_youth,sai_geoengineering,polarized,1,,1,0
T2d_H_polarized_climate_justice_youth,paris_agreement,polarized,0.7778,,0.7778,0
T2d_H_polarized_climate_justice_youth,climate_consensus,polarized,0.1296,1,0.1389,0.0185
T2d_H_polarized_climate_justice_youth,polar_bears,polarized,,,,
T2d_H_polarized_climate_scientist,scopex_2017,polarized,0,,0,0
T2d_H_polarized_climate_scientist,chemtrails_gates_2018_2021,polarized,0.25,,0.25,0
T2d_H_polarized_climate_scientist,sai_geoengineering,polarized,1.3333,,1.3333,0
T2d_H_polarized_climate_scientist,paris_agreement,polarized,0.25,1,1,0.75
T2d_H_polarized_climate_scientist,climate_consensus,polarized,0,,0,0
T2d_H_polarized_climate_scientist,polar_bears,polarized,2,,2,0
T2d_H_polarized_conspiracy_believer,scopex_2017,polarized,2.0556,0.6125,3.6667,1.6111
T2d_H_polarized_conspiracy_believer,chemtrails_gates_2018_2021,polarized,1,0.9129,3,2
T2d_H_polarized_conspiracy_believer,sai_geoengineering,polarized,1.5,-0.1514,2,0.5
T2d_H_polarized_conspiracy_believer,paris_agreement,polarized,0,,5,5
T2d_H_polarized_conspiracy_believer,climate_consensus,polarized,0,,5,5
T2d_H_polarized_conspiracy_believer,polar_bears,polarized,2.5,,2.5,0
T2d_H_polarized_conspiracy_climate_piggyback,scopex_2017,polarized,1,0.1651,2.6667,1.6667
T2d_H_polarized_conspiracy_climate_piggyback,chemtrails_gates_2018_2021,polarized,0.9,0.75,4,3.1
T2d_H_polarized_conspiracy_climate_piggyback,sai_geoengineering,polarized,1,,1,0
T2d_H_polarized_conspiracy_climate_piggyback,paris_agreement,polarized,1.8833,0.0526,4.5,2.6167
T2d_H_polarized_conspiracy_climate_piggyback,climate_consensus,polarized,,,,
T2d_H_polarized_conspiracy_climate_piggyback,polar_bears,polarized,0,1,0.5,0.5
T2d_H_polarized_conspiracy_depopulation,scopex_2017,polarized,2.9409,0.2684,4.1364,1.5288
T2d_H_polarized_conspiracy_depopulation,chemtrails_gates_2018_2021,polarized,,,,
T2d_H_polarized_conspiracy_depopulation,sai_geoengineering,polarized,1.1111,,1.1111,0
T2d_H_polarized_conspiracy_depopulation,paris_agreement,polarized,0.7143,,4.8571,4.4286
T2d_H_polarized_conspiracy_depopulation,climate_consensus,polarized,0,,5,5
T2d_H_polarized_conspiracy_depopulation,polar_bears,polarized,0.6667,,0.6667,0
T2d_H_polarized_conspiracy_haarp_weather,scopex_2017,polarized,1.8818,0.3031,4.6364,2.7545
T2d_H_polarized_conspiracy_haarp_weather,chemtrails_gates_2018_2021,polarized,0.75,0.8325,3.6667,3.0833
T2d_H_polarized_conspiracy_haarp_weather,sai_geoengineering,polarized,1.6,0.2156,2.4,0.8
T2d_H_polarized_conspiracy_haarp_weather,paris_agreement,polarized,2.3333,,5,2.6667
T2d_H_polarized_conspiracy_haarp_weather,climate_consensus,polarized,0,,5,5
T2d_H_polarized_conspiracy_haarp_weather,polar_bears,polarized,0,,0,0
T2d_H_polarized_environmental_concern,scopex_2017,polarized,0,,0,0
T2d_H_polarized_environmental_concern,chemtrails_gates_2018_2021,polarized,0.0049,1,0.0098,0.0049
T2d_H_polarized_environmental_concern,sai_geoengineering,polarized,0.8926,,0.876,0.0165
T2d_H_polarized_environmental_concern,paris_agreement,polarized,1.0101,,1,0.0101
T2d_H_polarized_environmental_concern,climate_consensus,polarized,0.2992,,0.2992,0
T2d_H_polarized_environmental_concern,polar_bears,polarized,0.7245,,0.7245,0
T2d_H_polarized_mitigation_first_policy,scopex_2017,polarized,,,,
T2d_H_polarized_mitigation_first_policy,chemtrails_gates_2018_2021,polarized,0.0833,1,0.1111,0.0278
T2d_H_polarized_mitigation_first_policy,sai_geoengineering,polarized,0.9912,,0.9823,0.0088
T2d_H_polarized_mitigation_first_policy,paris_agreement,polarized,0.7865,1,0.7978,0.0112
T2d_H_polarized_mitigation_first_policy,climate_consensus,polarized,0.4159,0.8062,0.4299,0.014
T2d_H_polarized_mitigation_first_policy,polar_bears,polarized,1.2058,-0.4082,1.2083,0.0058
T2d_H_polarized_ozone_stratosphere_specialist,scopex_2017,polarized,0.0175,,0.0175,0
T2d_H_polarized_ozone_stratosphere_specialist,chemtrails_gates_2018_2021,polarized,1.1085,0.9154,2.0085,0.9
T2d_H_polarized_ozone_stratosphere_specialist,sai_geoengineering,polarized,1.1653,0.6486,1.1935,0.0444
T2d_H_polarized_ozone_stratosphere_specialist,paris_agreement,polarized,0.6093,0.8222,0.6495,0.1021
T2d_H_polarized_ozone_stratosphere_specialist,climate_consensus,polarized,0.9659,0.6124,0.9773,0.0114
