
=== 2026-09-19T04:06:38.264Z  node index.js --config thesisExperiment/configs/phase2/T2d_H_hierarchical_conspiracy_depopulation.json
[node_7] Edge to node_2 deleted (trust collapsed)

[Simulation] === Auditing: polar_bears ===
[Simulation]   Scoring node_0
[Simulation]   Scoring node_1
[Simulation]   Scoring node_2
[Simulation]   Scoring node_3
[Simulation]   Scoring node_4
[Simulation]   Scoring node_5
[Simulation]   Scoring node_6
[Simulation]   Scoring node_7
[Simulation] LLM usage: 521 calls, 235992 prompt / 32966 completion tokens ~$0.0552

[Simulation] Done. Results in: /workspace/thesisExperiment/runs_phase2/T2d_H_hierarchical_conspiracy_depopulation_2026-09-19_04-06-38

═══ SUMMARY ═══

Article: scopex_2017
Node         Persona                      MPR    Severity
-----------------------------------------------------------------
node_0       conspiracy_depopulation      3.83   propaganda
node_1       conspiracy_depopulation      3.82   propaganda
node_2       conspiracy_depopulation      3.70   propaganda
node_3       conspiracy_depopulation      4.55   propaganda
node_4       conspiracy_depopulation      4.33   propaganda
node_5       conspiracy_depopulation      4.67   propaganda
node_6       conspiracy_depopulation      4.33   propaganda
node_7       conspiracy_depopulation      4.00   propaganda
  Gini coefficient:   0.046
  Structural virality: 2.250
  MI half-life tick:  3

Article: chemtrails_gates_2018_2021
Node         Persona                      MPR    Severity
-----------------------------------------------------------------
node_0       conspiracy_depopulation      4.09   propaganda
node_1       conspiracy_depopulation      4.00   propaganda
node_2       conspiracy_depopulation      4.00   propaganda
node_3       conspiracy_depopulation      4.00   propaganda
node_4       conspiracy_depopulation      4.20   propaganda
node_5       conspiracy_depopulation      4.00   propaganda
node_6       conspiracy_depopulation      4.25   propaganda
node_7       conspiracy_depopulation      4.00   propaganda
  Gini coefficient:   0.012
  Structural virality: 2.250
  MI half-life tick:  4

Article: sai_geoengineering
Node         Persona                      MPR    Severity
-----------------------------------------------------------------
node_0       conspiracy_depopulation      0.00   factual_error
node_1       conspiracy_depopulation      0.00   factual_error
node_2       conspiracy_depopulation      0.00   factual_error
node_3       conspiracy_depopulation      0.00   factual_error
node_4       conspiracy_depopulation      0.00   factual_error
node_5       conspiracy_depopulation      0.00   factual_error
node_6       conspiracy_depopulation      0.00   factual_error
node_7       conspiracy_depopulation      0.00   factual_error
  Gini coefficient:   0.000
  Structural virality: 0.000

Article: paris_agreement
Node         Persona                      MPR    Severity
-----------------------------------------------------------------
node_0       conspiracy_depopulation      0.00   factual_error
node_1       conspiracy_depopulation      0.00   factual_error
node_2       conspiracy_depopulation      0.00   factual_error
node_3       conspiracy_depopulation      0.00   factual_error
node_4       conspiracy_depopulation      0.00   factual_error
node_5       conspiracy_depopulation      0.00   factual_error
node_6       conspiracy_depopulation      0.00   factual_error
node_7       conspiracy_depopulation      0.00   factual_error
  Gini coefficient:   0.000
  Structural virality: 0.000

Article: climate_consensus
Node         Persona                      MPR    Severity
-----------------------------------------------------------------
node_0       conspiracy_depopulation      5.00   propaganda
node_1       conspiracy_depopulation      5.00   propaganda
node_2       conspiracy_depopulation      5.00   propaganda
node_3       conspiracy_depopulation      5.00   propaganda
node_4       conspiracy_depopulation      4.86   propaganda
node_5       conspiracy_depopulation      5.00   propaganda
node_6       conspiracy_depopulation      4.88   propaganda
node_7       conspiracy_depopulation      4.75   propaganda
  Gini coefficient:   0.009
  Structural virality: 2.250
  MI half-life tick:  3

Article: polar_bears
Node         Persona                      MPR    Severity
-----------------------------------------------------------------
node_0       conspiracy_depopulation      0.00   factual_error
node_1       conspiracy_depopulation      0.00   factual_error
node_2       conspiracy_depopulation      0.00   factual_error
node_3       conspiracy_depopulation      0.00   factual_error
node_4       conspiracy_depopulation      0.00   factual_error
node_5       conspiracy_depopulation      0.00   factual_error
node_6       conspiracy_depopulation      0.00   factual_error
node_7       conspiracy_depopulation      0.00   factual_error
  Gini coefficient:   0.000
  Structural virality: 0.000
