experimentName,topology,articleId,nEvents,nScored,meanContinuousMI,llmCalls,status,miScoringMode,runDir
T2c_H_linear_chain_conspiracy_climate_piggyback,linear_chain,chemtrails_gates_2018_2021,8,8,2.9625,53,complete,continuous,T2c_H_linear_chain_conspiracy_climate_piggyback_2026-09-19_02-49-25
T2c_H_linear_chain_conspiracy_climate_piggyback,linear_chain,sai_geoengineering,3,2,0.0,53,complete,continuous,T2c_H_linear_chain_conspiracy_climate_piggyback_2026-09-19_02-49-25
T2c_H_linear_chain_conspiracy_climate_piggyback,linear_chain,paris_agreement,7,6,3.1667,53,complete,continuous,T2c_H_linear_chain_conspiracy_climate_piggyback_2026-09-19_02-49-25
T2c_H_linear_chain_conspiracy_climate_piggyback,linear_chain,climate_consensus,2,1,5.0,53,complete,continuous,T2c_H_linear_chain_conspiracy_climate_piggyback_2026-09-19_02-49-25
T2c_H_linear_chain_conspiracy_climate_piggyback,linear_chain,polar_bears,8,8,0.0,53,complete,continuous,T2c_H_linear_chain_conspiracy_climate_piggyback_2026-09-19_02-49-25
T2c_H_linear_chain_conspiracy_depopulation,linear_chain,scopex_2017,8,8,1.875,91,complete,continuous,T2c_H_linear_chain_conspiracy_depopulation_2026-09-19_02-49-24
T2c_H_linear_chain_conspiracy_depopulation,linear_chain,chemtrails_gates_2018_2021,8,8,3.5625,91,complete,continuous,T2c_H_linear_chain_conspiracy_depopulation_2026-09-19_02-49-24
T2c_H_linear_chain_conspiracy_depopulation,linear_chain,sai_geoengineering,8,8,0.0,91,complete,continuous,T2c_H_linear_chain_conspiracy_depopulation_2026-09-19_02-49-24
T2c_H_linear_chain_conspiracy_depopulation,linear_chain,paris_agreement,8,8,2.75,91,complete,continuous,T2c_H_linear_chain_conspiracy_depopulation_2026-09-19_02-49-24
T2c_H_linear_chain_conspiracy_depopulation,linear_chain,climate_consensus,8,8,4.25,91,complete,continuous,T2c_H_linear_chain_conspiracy_depopulation_2026-09-19_02-49-24
T2c_H_linear_chain_conspiracy_depopulation,linear_chain,polar_bears,8,8,0.0,91,complete,continuous,T2c_H_linear_chain_conspiracy_depopulation_2026-09-19_02-49-24
T2c_H_linear_chain_conspiracy_haarp_weather,linear_chain,scopex_2017,8,8,2.425,84,complete,continuous,T2c_H_linear_chain_conspiracy_haarp_weather_2026-09-19_02-49-24
T2c_H_linear_chain_conspiracy_haarp_weather,linear_chain,chemtrails_gates_2018_2021,8,8,3.65,84,complete,continuous,T2c_H_linear_chain_conspiracy_haarp_weather_2026-09-19_02-49-24
T2c_H_linear_chain_conspiracy_haarp_weather,linear_chain,sai_geoengineering,8,8,0.125,84,complete,continuous,T2c_H_linear_chain_conspiracy_haarp_weather_2026-09-19_02-49-24
T2c_H_linear_chain_conspiracy_haarp_weather,linear_chain,paris_agreement,8,8,4.75,84,complete,continuous,T2c_H_linear_chain_conspiracy_haarp_weather_2026-09-19_02-49-24
T2c_H_linear_chain_conspiracy_haarp_weather,linear_chain,climate_consensus,6,5,5.0,84,complete,continuous,T2c_H_linear_chain_conspiracy_haarp_weather_2026-09-19_02-49-24
T2c_H_linear_chain_conspiracy_haarp_weather,linear_chain,polar_bears,8,8,0.0,84,complete,continuous,T2c_H_linear_chain_conspiracy_haarp_weather_2026-09-19_02-49-24
T2c_H_linear_chain_environmental_concern,linear_chain,scopex_2017,8,8,0.0,67,complete,continuous,T2c_H_linear_chain_environmental_concern_2026-09-19_02-51-57
T2c_H_linear_chain_environmental_concern,linear_chain,chemtrails_gates_2018_2021,8,7,1.1429,67,complete,continuous,T2c_H_linear_chain_environmental_concern_2026-09-19_02-51-57
T2c_H_linear_chain_environmental_concern,linear_chain,sai_geoengineering,2,1,0.0,67,complete,continuous,T2c_H_linear_chain_environmental_concern_2026-09-19_02-51-57
T2c_H_linear_chain_environmental_concern,linear_chain,paris_agreement,8,8,0.0,67,complete,continuous,T2c_H_linear_chain_environmental_concern_2026-09-19_02-51-57
T2c_H_linear_chain_environmental_concern,linear_chain,climate_consensus,4,3,0.0,67,complete,continuous,T2c_H_linear_chain_environmental_concern_2026-09-19_02-51-57
T2c_H_linear_chain_environmental_concern,linear_chain,polar_bears,8,8,0.0,67,complete,continuous,T2c_H_linear_chain_environmental_concern_2026-09-19_02-51-57
T2c_H_linear_chain_mitigation_first_policy,linear_chain,scopex_2017,4,3,0.0,51,complete,continuous,T2c_H_linear_chain_mitigation_first_policy_2026-09-19_02-51-40
T2c_H_linear_chain_mitigation_first_policy,linear_chain,chemtrails_gates_2018_2021,8,8,0.3125,51,complete,continuous,T2c_H_linear_chain_mitigation_first_policy_2026-09-19_02-51-40
T2c_H_linear_chain_mitigation_first_policy,linear_chain,sai_geoengineering,8,8,0.0,51,complete,continuous,T2c_H_linear_chain_mitigation_first_policy_2026-09-19_02-51-40
T2c_H_linear_chain_mitigation_first_policy,linear_chain,paris_agreement,1,0,,51,complete,continuous,T2c_H_linear_chain_mitigation_first_policy_2026-09-19_02-51-40
T2c_H_linear_chain_mitigation_first_policy,linear_chain,climate_consensus,8,8,0.1875,51,complete,continuous,T2c_H_linear_chain_mitigation_first_policy_2026-09-19_02-51-40
T2c_H_linear_chain_mitigation_first_policy,linear_chain,polar_bears,1,0,,51,complete,continuous,T2c_H_linear_chain_mitigation_first_policy_2026-09-19_02-51-40
T2c_H_linear_chain_ozone_stratosphere_specialist,linear_chain,scopex_2017,8,8,0.0,76,complete,continuous,T2c_H_linear_chain_ozone_stratosphere_specialist_2026-09-19_02-52-16
T2c_H_linear_chain_ozone_stratosphere_specialist,linear_chain,chemtrails_gates_2018_2021,8,8,0.5,76,complete,continuous,T2c_H_linear_chain_ozone_stratosphere_specialist_2026-09-19_02-52-16
T2c_H_linear_chain_ozone_stratosphere_specialist,linear_chain,sai_geoengineering,4,3,0.0,76,complete,continuous,T2c_H_linear_chain_ozone_stratosphere_specialist_2026-09-19_02-52-16
T2c_H_linear_chain_ozone_stratosphere_specialist,linear_chain,paris_agreement,8,8,0.0,76,complete,continuous,T2c_H_linear_chain_ozone_stratosphere_specialist_2026-09-19_02-52-16
T2c_H_linear_chain_ozone_stratosphere_specialist,linear_chain,climate_consensus,8,8,0.0,76,complete,continuous,T2c_H_linear_chain_ozone_stratosphere_specialist_2026-09-19_02-52-16
T2c_H_linear_chain_ozone_stratosphere_specialist,linear_chain,polar_bears,7,6,0.25,76,complete,continuous,T2c_H_linear_chain_ozone_stratosphere_specialist_2026-09-19_02-52-16
T2c_H_linear_chain_science_journalist,linear_chain,scopex_2017,8,8,0.0,45,complete,continuous,T2c_H_linear_chain_science_journalist_2026-09-19_02-53-41
T2c_H_linear_chain_science_journalist,linear_chain,chemtrails_gates_2018_2021,8,8,0.0,45,complete,continuous,T2c_H_linear_chain_science_journalist_2026-09-19_02-53-41
T2c_H_linear_chain_science_journalist,linear_chain,sai_geoengineering,8,8,0.0,45,complete,continuous,T2c_H_linear_chain_science_journalist_2026-09-19_02-53-41
T2c_H_linear_chain_science_journalist,linear_chain,paris_agreement,2,1,0.0,45,complete,continuous,T2c_H_linear_chain_science_journalist_2026-09-19_02-53-41
T2c_H_linear_chain_science_journalist,linear_chain,climate_consensus,1,0,,45,complete,continuous,T2c_H_linear_chain_science_journalist_2026-09-19_02-53-41
T2c_H_linear_chain_science_journalist,linear_chain,polar_bears,1,0,,45,complete,continuous,T2c_H_linear_chain_science_journalist_2026-09-19_02-53-41
T2c_H_ring_biodiversity_food_security,ring,scopex_2017,8,8,0.0,72,complete,continuous,T2c_H_ring_biodiversity_food_security_2026-09-19_02-58-51
T2c_H_ring_biodiversity_food_security,ring,chemtrails_gates_2018_2021,8,8,1.0,72,complete,continuous,T2c_H_ring_biodiversity_food_security_2026-09-19_02-58-51
T2c_H_ring_biodiversity_food_security,ring,sai_geoengineering,1,0,,72,complete,continuous,T2c_H_ring_biodiversity_food_security_2026-09-19_02-58-51
T2c_H_ring_biodiversity_food_security,ring,paris_agreement,8,8,0.5625,72,complete,continuous,T2c_H_ring_biodiversity_food_security_2026-09-19_02-58-51
T2c_H_ring_biodiversity_food_security,ring,climate_consensus,7,6,0.1167,72,complete,continuous,T2c_H_ring_biodiversity_food_security_2026-09-19_02-58-51
T2c_H_ring_biodiversity_food_security,ring,polar_bears,8,8,0.0,72,complete,continuous,T2c_H_ring_biodiversity_food_security_2026-09-19_02-58-51
T2c_H_ring_climate_action_advocate,ring,scopex_2017,8,8,0.3125,77,complete,continuous,T2c_H_ring_climate_action_advocate_2026-09-19_02-56-04
T2c_H_ring_climate_action_advocate,ring,chemtrails_gates_2018_2021,8,8,1.0,77,complete,continuous,T2c_H_ring_climate_action_advocate_2026-09-19_02-56-04
T2c_H_ring_climate_action_advocate,ring,sai_geoengineering,8,8,0.0,77,complete,continuous,T2c_H_ring_climate_action_advocate_2026-09-19_02-56-04
T2c_H_ring_climate_action_advocate,ring,paris_agreement,6,5,0.0,77,complete,continuous,T2c_H_ring_climate_action_advocate_2026-09-19_02-56-04
T2c_H_ring_climate_action_advocate,ring,climate_consensus,8,8,0.375,77,complete,continuous,T2c_H_ring_climate_action_advocate_2026-09-19_02-56-04
T2c_H_ring_climate_action_advocate,ring,polar_bears,5,4,0.0,77,complete,continuous,T2c_H_ring_climate_action_advocate_2026-09-19_02-56-04
T2c_H_ring_climate_justice_youth,ring,scopex_2017,1,0,,59,complete,continuous,T2c_H_ring_climate_justice_youth_2026-09-19_02-56-14
T2c_H_ring_climate_justice_youth,ring,chemtrails_gates_2018_2021,5,4,0.625,59,complete,continuous,T2c_H_ring_climate_justice_youth_2026-09-19_02-56-14
T2c_H_ring_climate_justice_youth,ring,sai_geoengineering,8,8,0.0625,59,complete,continuous,T2c_H_ring_climate_justice_youth_2026-09-19_02-56-14
T2c_H_ring_climate_justice_youth,ring,paris_agreement,4,3,0.0,59,complete,continuous,T2c_H_ring_climate_justice_youth_2026-09-19_02-56-14
T2c_H_ring_climate_justice_youth,ring,climate_consensus,8,8,0.5625,59,complete,continuous,T2c_H_ring_climate_justice_youth_2026-09-19_02-56-14
T2c_H_ring_climate_justice_youth,ring,polar_bears,8,8,0.0,59,complete,continuous,T2c_H_ring_climate_justice_youth_2026-09-19_02-56-14
T2c_H_ring_climate_scientist,ring,scopex_2017,4,3,0.0,83,complete,continuous,T2c_H_ring_climate_scientist_2026-09-19_02-58-51
T2c_H_ring_climate_scientist,ring,chemtrails_gates_2018_2021,8,8,0.0,83,complete,continuous,T2c_H_ring_climate_scientist_2026-09-19_02-58-51
T2c_H_ring_climate_scientist,ring,sai_geoengineering,8,8,0.125,83,complete,continuous,T2c_H_ring_climate_scientist_2026-09-19_02-58-51
T2c_H_ring_climate_scientist,ring,paris_agreement,8,8,0.0,83,complete,continuous,T2c_H_ring_climate_scientist_2026-09-19_02-58-51
T2c_H_ring_climate_scientist,ring,climate_consensus,8,8,0.0,83,complete,continuous,T2c_H_ring_climate_scientist_2026-09-19_02-58-51
T2c_H_ring_climate_scientist,ring,polar_bears,8,8,0.0,83,complete,continuous,T2c_H_ring_climate_scientist_2026-09-19_02-58-51
T2c_H_ring_conspiracy_believer,ring,scopex_2017,8,8,1.5625,67,complete,continuous,T2c_H_ring_conspiracy_believer_2026-09-19_02-54-16
T2c_H_ring_conspiracy_believer,ring,chemtrails_gates_2018_2021,8,8,3.25,67,complete,continuous,T2c_H_ring_conspiracy_believer_2026-09-19_02-54-16
T2c_H_ring_conspiracy_believer,ring,sai_geoengineering,3,2,0.5,67,complete,continuous,T2c_H_ring_conspiracy_believer_2026-09-19_02-54-16
T2c_H_ring_conspiracy_believer,ring,paris_agreement,8,8,4.25,67,complete,continuous,T2c_H_ring_conspiracy_believer_2026-09-19_02-54-16
T2c_H_ring_conspiracy_believer,ring,climate_consensus,6,5,5.0,67,complete,continuous,T2c_H_ring_conspiracy_believer_2026-09-19_02-54-16
T2c_H_ring_conspiracy_believer,ring,polar_bears,6,5,0.0,67,complete,continuous,T2c_H_ring_conspiracy_believer_2026-09-19_02-54-16
T2c_H_ring_conspiracy_climate_piggyback,ring,scopex_2017,8,8,2.125,91,complete,continuous,T2c_H_ring_conspiracy_climate_piggyback_2026-09-19_02-55-28
T2c_H_ring_conspiracy_climate_piggyback,ring,chemtrails_gates_2018_2021,8,8,3.5625,91,complete,continuous,T2c_H_ring_conspiracy_climate_piggyback_2026-09-19_02-55-28
T2c_H_ring_conspiracy_climate_piggyback,ring,sai_geoengineering,8,8,0.1875,91,complete,continuous,T2c_H_ring_conspiracy_climate_piggyback_2026-09-19_02-55-28
T2c_H_ring_conspiracy_climate_piggyback,ring,paris_agreement,8,8,3.25,91,complete,continuous,T2c_H_ring_conspiracy_climate_piggyback_2026-09-19_02-55-28
T2c_H_ring_conspiracy_climate_piggyback,ring,climate_consensus,8,8,5.0,91,complete,continuous,T2c_H_ring_conspiracy_climate_piggyback_2026-09-19_02-55-28
T2c_H_ring_conspiracy_climate_piggyback,ring,polar_bears,8,8,0.0,91,complete,continuous,T2c_H_ring_conspiracy_climate_piggyback_2026-09-19_02-55-28
T2c_H_ring_conspiracy_depopulation,ring,scopex_2017,8,8,1.75,75,complete,continuous,T2c_H_ring_conspiracy_depopulation_2026-09-19_02-54-43
T2c_H_ring_conspiracy_depopulation,ring,chemtrails_gates_2018_2021,8,8,3.025,75,complete,continuous,T2c_H_ring_conspiracy_depopulation_2026-09-19_02-54-43
T2c_H_ring_conspiracy_depopulation,ring,sai_geoengineering,8,8,0.25,75,complete,continuous,T2c_H_ring_conspiracy_depopulation_2026-09-19_02-54-43
T2c_H_ring_conspiracy_depopulation,ring,paris_agreement,8,8,3.5875,75,complete,continuous,T2c_H_ring_conspiracy_depopulation_2026-09-19_02-54-43
T2c_H_ring_conspiracy_depopulation,ring,climate_consensus,1,0,,75,complete,continuous,T2c_H_ring_conspiracy_depopulation_2026-09-19_02-54-43
T2c_H_ring_conspiracy_depopulation,ring,polar_bears,7,6,0.0,75,complete,continuous,T2c_H_ring_conspiracy_depopulation_2026-09-19_02-54-43
T2c_H_ring_conspiracy_haarp_weather,ring,scopex_2017,8,8,3.4375,75,complete,continuous,T2c_H_ring_conspiracy_haarp_weather_2026-09-19_02-54-16
T2c_H_ring_conspiracy_haarp_weather,ring,chemtrails_gates_2018_2021,8,8,3.375,75,complete,continuous,T2c_H_ring_conspiracy_haarp_weather_2026-09-19_02-54-16
T2c_H_ring_conspiracy_haarp_weather,ring,sai_geoengineering,8,8,2.0625,75,complete,continuous,T2c_H_ring_conspiracy_haarp_weather_2026-09-19_02-54-16
T2c_H_ring_conspiracy_haarp_weather,ring,paris_agreement,1,0,,75,complete,continuous,T2c_H_ring_conspiracy_haarp_weather_2026-09-19_02-54-16
T2c_H_ring_conspiracy_haarp_weather,ring,climate_consensus,8,8,4.75,75,complete,continuous,T2c_H_ring_conspiracy_haarp_weather_2026-09-19_02-54-16
T2c_H_ring_conspiracy_haarp_weather,ring,polar_bears,8,8,0.0,75,complete,continuous,T2c_H_ring_conspiracy_haarp_weather_2026-09-19_02-54-16
T2c_H_ring_environmental_concern,ring,scopex_2017,8,8,0.0,79,complete,continuous,T2c_H_ring_environmental_concern_2026-09-19_02-58-51
T2c_H_ring_environmental_concern,ring,chemtrails_gates_2018_2021,8,8,1.0,79,complete,continuous,T2c_H_ring_environmental_concern_2026-09-19_02-58-51
T2c_H_ring_environmental_concern,ring,sai_geoengineering,8,8,0.1875,79,complete,continuous,T2c_H_ring_environmental_concern_2026-09-19_02-58-51
T2c_H_ring_environmental_concern,ring,paris_agreement,3,2,0.25,79,complete,continuous,T2c_H_ring_environmental_concern_2026-09-19_02-58-51
T2c_H_ring_environmental_concern,ring,climate_consensus,8,8,0.25,79,complete,continuous,T2c_H_ring_environmental_concern_2026-09-19_02-58-51
T2c_H_ring_environmental_concern,ring,polar_bears,8,8,0.0,79,complete,continuous,T2c_H_ring_environmental_concern_2026-09-19_02-58-51
T2c_H_ring_mitigation_first_policy,ring,scopex_2017,8,8,0.0,64,complete,continuous,T2c_H_ring_mitigation_first_policy_2026-09-19_02-56-48
T2c_H_ring_mitigation_first_policy,ring,chemtrails_gates_2018_2021,8,8,0.5,64,complete,continuous,T2c_H_ring_mitigation_first_policy_2026-09-19_02-56-48
T2c_H_ring_mitigation_first_policy,ring,sai_geoengineering,1,0,,64,complete,continuous,T2c_H_ring_mitigation_first_policy_2026-09-19_02-56-48
T2c_H_ring_mitigation_first_policy,ring,paris_agreement,8,8,0.0,64,complete,continuous,T2c_H_ring_mitigation_first_policy_2026-09-19_02-56-48
T2c_H_ring_mitigation_first_policy,ring,climate_consensus,3,2,0.0,64,complete,continuous,T2c_H_ring_mitigation_first_policy_2026-09-19_02-56-48
T2c_H_ring_mitigation_first_policy,ring,polar_bears,8,8,0.0,64,complete,continuous,T2c_H_ring_mitigation_first_policy_2026-09-19_02-56-48
T2c_H_ring_ozone_stratosphere_specialist,ring,scopex_2017,8,7,0.0,76,complete,continuous,T2c_H_ring_ozone_stratosphere_specialist_2026-09-19_02-58-51
T2c_H_ring_ozone_stratosphere_specialist,ring,chemtrails_gates_2018_2021,8,8,1.0625,76,complete,continuous,T2c_H_ring_ozone_stratosphere_specialist_2026-09-19_02-58-51
T2c_H_ring_ozone_stratosphere_specialist,ring,sai_geoengineering,8,8,0.0,76,complete,continuous,T2c_H_ring_ozone_stratosphere_specialist_2026-09-19_02-58-51
T2c_H_ring_ozone_stratosphere_specialist,ring,paris_agreement,8,8,0.0,76,complete,continuous,T2c_H_ring_ozone_stratosphere_specialist_2026-09-19_02-58-51
T2c_H_ring_ozone_stratosphere_specialist,ring,climate_consensus,8,8,0.0625,76,complete,continuous,T2c_H_ring_ozone_stratosphere_specialist_2026-09-19_02-58-51
T2c_H_ring_ozone_stratosphere_specialist,ring,polar_bears,2,1,0.0,76,complete,continuous,T2c_H_ring_ozone_stratosphere_specialist_2026-09-19_02-58-51
T2c_H_ring_science_journalist,ring,scopex_2017,8,8,0.0,65,complete,continuous,T2c_H_ring_science_journalist_2026-09-19_03-00-29
T2c_H_ring_science_journalist,ring,chemtrails_gates_2018_2021,4,3,0.5,65,complete,continuous,T2c_H_ring_science_journalist_2026-09-19_03-00-29
T2c_H_ring_science_journalist,ring,sai_geoengineering,8,8,0.0625,65,complete,continuous,T2c_H_ring_science_journalist_2026-09-19_03-00-29
T2c_H_ring_science_journalist,ring,paris_agreement,1,0,,65,complete,continuous,T2c_H_ring_science_journalist_2026-09-19_03-00-29
T2c_H_ring_science_journalist,ring,climate_consensus,8,8,0.0,65,complete,continuous,T2c_H_ring_science_journalist_2026-09-19_03-00-29
T2c_H_ring_science_journalist,ring,polar_bears,8,8,0.0,65,complete,continuous,T2c_H_ring_science_journalist_2026-09-19_03-00-29
T2c_H_random_er_biodiversity_food_security,random_er,scopex_2017,118,95,0.1,975,complete,continuous,T2c_H_random_er_biodiversity_food_security_2026-09-19_03-33-32
T2c_H_random_er_biodiversity_food_security,random_er,chemtrails_gates_2018_2021,127,110,1.0,975,complete,continuous,T2c_H_random_er_biodiversity_food_security_2026-09-19_03-33-32
T2c_H_random_er_biodiversity_food_security,random_er,sai_geoengineering,108,90,0.0167,975,complete,continuous,T2c_H_random_er_biodiversity_food_security_2026-09-19_03-33-32
T2c_H_random_er_biodiversity_food_security,random_er,paris_agreement,125,115,0.0,975,complete,continuous,T2c_H_random_er_biodiversity_food_security_2026-09-19_03-33-32
T2c_H_random_er_biodiversity_food_security,random_er,climate_consensus,116,106,0.1953,975,complete,continuous,T2c_H_random_er_biodiversity_food_security_2026-09-19_03-33-32
T2c_H_random_er_biodiversity_food_security,random_er,polar_bears,119,102,0.0,975,complete,continuous,T2c_H_random_er_biodiversity_food_security_2026-09-19_03-33-32
T2c_H_random_er_climate_action_advocate,random_er,scopex_2017,118,99,0.5606,781,complete,continuous,T2c_H_random_er_climate_action_advocate_2026-09-19_03-10-51
T2c_H_random_er_climate_action_advocate,random_er,chemtrails_gates_2018_2021,125,109,1.0183,781,complete,continuous,T2c_H_random_er_climate_action_advocate_2026-09-19_03-10-51
T2c_H_random_er_climate_action_advocate,random_er,sai_geoengineering,114,103,0.0,781,complete,continuous,T2c_H_random_er_climate_action_advocate_2026-09-19_03-10-51
T2c_H_random_er_climate_action_advocate,random_er,paris_agreement,99,86,0.0116,781,complete,continuous,T2c_H_random_er_climate_action_advocate_2026-09-19_03-10-51
T2c_H_random_er_climate_action_advocate,random_er,climate_consensus,114,103,0.068,781,complete,continuous,T2c_H_random_er_climate_action_advocate_2026-09-19_03-10-51
T2c_H_random_er_climate_action_advocate,random_er,polar_bears,1,0,,781,complete,continuous,T2c_H_random_er_climate_action_advocate_2026-09-19_03-10-51
T2c_H_random_er_climate_justice_youth,random_er,scopex_2017,105,96,0.1719,634,complete,continuous,T2c_H_random_er_climate_justice_youth_2026-09-19_03-21-04
T2c_H_random_er_climate_justice_youth,random_er,chemtrails_gates_2018_2021,66,57,0.6667,634,complete,continuous,T2c_H_random_er_climate_justice_youth_2026-09-19_03-21-04
T2c_H_random_er_climate_justice_youth,random_er,sai_geoengineering,65,57,0.3158,634,complete,continuous,T2c_H_random_er_climate_justice_youth_2026-09-19_03-21-04
T2c_H_random_er_climate_justice_youth,random_er,paris_agreement,109,95,0.0,634,complete,continuous,T2c_H_random_er_climate_justice_youth_2026-09-19_03-21-04
T2c_H_random_er_climate_justice_youth,random_er,climate_consensus,118,102,0.2206,634,complete,continuous,T2c_H_random_er_climate_justice_youth_2026-09-19_03-21-04
T2c_H_random_er_climate_justice_youth,random_er,polar_bears,1,0,,634,complete,continuous,T2c_H_random_er_climate_justice_youth_2026-09-19_03-21-04
T2c_H_random_er_climate_scientist,random_er,scopex_2017,162,132,0.0,1018,complete,continuous,T2c_H_random_er_climate_scientist_2026-09-19_03-34-55
T2c_H_random_er_climate_scientist,random_er,chemtrails_gates_2018_2021,146,126,0.1222,1018,complete,continuous,T2c_H_random_er_climate_scientist_2026-09-19_03-34-55
T2c_H_random_er_climate_scientist,random_er,sai_geoengineering,158,136,0.0294,1018,complete,continuous,T2c_H_random_er_climate_scientist_2026-09-19_03-34-55
T2c_H_random_er_climate_scientist,random_er,paris_agreement,1,0,,1018,complete,continuous,T2c_H_random_er_climate_scientist_2026-09-19_03-34-55
