runDir,experimentName,slice,arm,topology,rest,miScoringMode,articleId,status,llmCalls,nEvents,nScored,dead,meanMI,meanNodeMPR,maxMI,meanDiscreteMI,meanContinuousMI,meanDualGap,meanAgreement,kStarDiscrete,kStarContinuous,kStarCensoredDiscrete,hatchStatus,hatchNote
T2c_H_echo_chamber_biodiversity_food_security_2026-09-19_04-43-08,T2c_H_echo_chamber_biodiversity_food_security,T2c_H,H,echo_chamber,biodiversity_food_security,continuous,climate_consensus,complete,1076,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_polarized_conspiracy_climate_piggyback_2026-09-19_04-17-42,T2c_H_polarized_conspiracy_climate_piggyback,T2c_H,H,polarized,conspiracy_climate_piggyback,continuous,sai_geoengineering,complete,402,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_polarized_conspiracy_climate_piggyback_2026-09-19_04-17-42,T2c_H_polarized_conspiracy_climate_piggyback,T2c_H,H,polarized,conspiracy_climate_piggyback,continuous,climate_consensus,complete,402,131,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_polarized_science_journalist_2026-09-19_04-43-11,T2c_H_polarized_science_journalist,T2c_H,H,polarized,science_journalist,continuous,sai_geoengineering,complete,859,3,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_climate_action_advocate_2026-09-19_03-10-51,T2c_H_random_er_climate_action_advocate,T2c_H,H,random_er,climate_action_advocate,continuous,polar_bears,complete,781,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_climate_justice_youth_2026-09-19_03-21-04,T2c_H_random_er_climate_justice_youth,T2c_H,H,random_er,climate_justice_youth,continuous,polar_bears,complete,634,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_climate_scientist_2026-09-19_03-34-55,T2c_H_random_er_climate_scientist,T2c_H,H,random_er,climate_scientist,continuous,paris_agreement,complete,1018,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_conspiracy_believer_2026-09-19_02-59-38,T2c_H_random_er_conspiracy_believer,T2c_H,H,random_er,conspiracy_believer,continuous,chemtrails_gates_2018_2021,complete,951,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_conspiracy_believer_2026-09-19_02-59-38,T2c_H_random_er_conspiracy_believer,T2c_H,H,random_er,conspiracy_believer,continuous,sai_geoengineering,complete,951,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_conspiracy_haarp_weather_2026-09-19_02-59-41,T2c_H_random_er_conspiracy_haarp_weather,T2c_H,H,random_er,conspiracy_haarp_weather,continuous,chemtrails_gates_2018_2021,complete,570,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_conspiracy_haarp_weather_2026-09-19_02-59-41,T2c_H_random_er_conspiracy_haarp_weather,T2c_H,H,random_er,conspiracy_haarp_weather,continuous,climate_consensus,complete,570,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_conspiracy_haarp_weather_2026-09-19_02-59-41,T2c_H_random_er_conspiracy_haarp_weather,T2c_H,H,random_er,conspiracy_haarp_weather,continuous,polar_bears,complete,570,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_environmental_concern_2026-09-19_03-26-13,T2c_H_random_er_environmental_concern,T2c_H,H,random_er,environmental_concern,continuous,sai_geoengineering,complete,828,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_environmental_concern_2026-09-19_03-26-13,T2c_H_random_er_environmental_concern,T2c_H,H,random_er,environmental_concern,continuous,polar_bears,complete,828,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_mitigation_first_policy_2026-09-19_03-24-12,T2c_H_random_er_mitigation_first_policy,T2c_H,H,random_er,mitigation_first_policy,continuous,climate_consensus,complete,822,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_ozone_stratosphere_specialist_2026-09-19_03-33-20,T2c_H_random_er_ozone_stratosphere_specialist,T2c_H,H,random_er,ozone_stratosphere_specialist,continuous,chemtrails_gates_2018_2021,complete,78,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_ozone_stratosphere_specialist_2026-09-19_03-33-20,T2c_H_random_er_ozone_stratosphere_specialist,T2c_H,H,random_er,ozone_stratosphere_specialist,continuous,paris_agreement,complete,78,2,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_ozone_stratosphere_specialist_2026-09-19_03-33-20,T2c_H_random_er_ozone_stratosphere_specialist,T2c_H,H,random_er,ozone_stratosphere_specialist,continuous,climate_consensus,complete,78,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_random_er_science_journalist_2026-09-19_03-41-14,T2c_H_random_er_science_journalist,T2c_H,H,random_er,science_journalist,continuous,climate_consensus,complete,868,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_ring_biodiversity_food_security_2026-09-19_02-58-51,T2c_H_ring_biodiversity_food_security,T2c_H,H,ring,biodiversity_food_security,continuous,sai_geoengineering,complete,72,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_ring_climate_justice_youth_2026-09-19_02-56-14,T2c_H_ring_climate_justice_youth,T2c_H,H,ring,climate_justice_youth,continuous,scopex_2017,complete,59,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_ring_conspiracy_depopulation_2026-09-19_02-54-43,T2c_H_ring_conspiracy_depopulation,T2c_H,H,ring,conspiracy_depopulation,continuous,climate_consensus,complete,75,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_ring_conspiracy_haarp_weather_2026-09-19_02-54-16,T2c_H_ring_conspiracy_haarp_weather,T2c_H,H,ring,conspiracy_haarp_weather,continuous,paris_agreement,complete,75,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_ring_mitigation_first_policy_2026-09-19_02-56-48,T2c_H_ring_mitigation_first_policy,T2c_H,H,ring,mitigation_first_policy,continuous,sai_geoengineering,complete,64,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_ring_ozone_stratosphere_specialist_2026-09-19_02-58-51,T2c_H_ring_ozone_stratosphere_specialist,T2c_H,H,ring,ozone_stratosphere_specialist,continuous,polar_bears,complete,76,2,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_ring_science_journalist_2026-09-19_03-00-29,T2c_H_ring_science_journalist,T2c_H,H,ring,science_journalist,continuous,paris_agreement,complete,65,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_biodiversity_food_security_2026-09-19_04-32-40,T2c_H_scale_free_biodiversity_food_security,T2c_H,H,scale_free,biodiversity_food_security,continuous,sai_geoengineering,complete,1166,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_climate_action_advocate_2026-09-19_03-57-46,T2c_H_scale_free_climate_action_advocate,T2c_H,H,scale_free,climate_action_advocate,continuous,polar_bears,complete,1167,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_climate_justice_youth_2026-09-19_04-01-22,T2c_H_scale_free_climate_justice_youth,T2c_H,H,scale_free,climate_justice_youth,continuous,sai_geoengineering,complete,913,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_climate_justice_youth_2026-09-19_04-01-22,T2c_H_scale_free_climate_justice_youth,T2c_H,H,scale_free,climate_justice_youth,continuous,paris_agreement,complete,913,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_conspiracy_climate_piggyback_2026-09-19_03-57-14,T2c_H_scale_free_conspiracy_climate_piggyback,T2c_H,H,scale_free,conspiracy_climate_piggyback,continuous,scopex_2017,complete,1176,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_conspiracy_depopulation_2026-09-19_03-35-38,T2c_H_scale_free_conspiracy_depopulation,T2c_H,H,scale_free,conspiracy_depopulation,continuous,climate_consensus,complete,1101,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_conspiracy_haarp_weather_2026-09-19_03-35-38,T2c_H_scale_free_conspiracy_haarp_weather,T2c_H,H,scale_free,conspiracy_haarp_weather,continuous,polar_bears,complete,1133,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_environmental_concern_2026-09-19_04-21-27,T2c_H_scale_free_environmental_concern,T2c_H,H,scale_free,environmental_concern,continuous,chemtrails_gates_2018_2021,complete,253,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_mitigation_first_policy_2026-09-19_04-32-32,T2c_H_scale_free_mitigation_first_policy,T2c_H,H,scale_free,mitigation_first_policy,continuous,scopex_2017,complete,807,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_mitigation_first_policy_2026-09-19_04-32-32,T2c_H_scale_free_mitigation_first_policy,T2c_H,H,scale_free,mitigation_first_policy,continuous,climate_consensus,complete,807,3,1,true,0,0,0,,0,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_ozone_stratosphere_specialist_2026-09-19_04-21-34,T2c_H_scale_free_ozone_stratosphere_specialist,T2c_H,H,scale_free,ozone_stratosphere_specialist,continuous,sai_geoengineering,complete,287,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_scale_free_science_journalist_2026-09-19_04-43-56,T2c_H_scale_free_science_journalist,T2c_H,H,scale_free,science_journalist,continuous,sai_geoengineering,complete,1114,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_small_world_biodiversity_food_security_2026-09-19_04-30-46,T2c_H_small_world_biodiversity_food_security,T2c_H,H,small_world,biodiversity_food_security,continuous,chemtrails_gates_2018_2021,complete,41,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_small_world_biodiversity_food_security_2026-09-19_04-30-46,T2c_H_small_world_biodiversity_food_security,T2c_H,H,small_world,biodiversity_food_security,continuous,climate_consensus,complete,41,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
T2c_H_small_world_biodiversity_food_security_2026-09-19_04-30-46,T2c_H_small_world_biodiversity_food_security,T2c_H,H,small_world,biodiversity_food_security,continuous,polar_bears,complete,41,1,0,true,,,,,,,,,,false,hatched_dead_after_llm,nScored <= 1 but llmCalls>0; keep the row; do not drop; do not read as mix immunises
