runDir,experimentName,slice,arm,topology,rest,scoringMode,startHourUtc,status,stateStatus,runs,llm_calls,http_errors,expected_attempts,attempt_accounting_delta,reinterpret_events,identity_rewrite_fallbacks,audit_eligible_events,scored_events,unscored_eligible_events,auditor_request_failures_derived,rewrite_caught_failures,auditor_caught_failed_events,logged_http_429,logged_other_http,logged_timeouts,logged_transport_errors,parse_fallbacks,schema_anomalies,aborted_selected_runs,raw_archive_state_drift,log_section_found
T2c_H_hierarchical_climate_action_advocate_2026-09-19_04-26-01,T2c_H_hierarchical_climate_action_advocate,T2c_H,H,hierarchical,climate_action_advocate,continuous,2026-09-19T04:00Z,complete,complete,1,143,446,589,0,228,100,361,15,346,,100,346,446,0,0,0,0,0,0,0,1
T2c_H_hierarchical_climate_justice_youth_2026-09-19_04-26-51,T2c_H_hierarchical_climate_justice_youth,T2c_H,H,hierarchical,climate_justice_youth,continuous,2026-09-19T04:00Z,complete,complete,1,119,522,641,0,241,140,400,17,383,,139,383,522,0,0,0,0,0,0,0,1
T2c_H_hierarchical_climate_scientist_2026-09-19_04-31-18,T2c_H_hierarchical_climate_scientist,T2c_H,H,hierarchical,climate_scientist,continuous,2026-09-19T04:00Z,complete,complete,1,30,378,408,0,150,130,258,10,248,,130,248,378,0,0,0,0,0,0,0,1
T2c_H_hierarchical_conspiracy_believer_2026-09-19_04-17-53,T2c_H_hierarchical_conspiracy_believer,T2c_H,H,hierarchical,conspiracy_believer,continuous,2026-09-19T04:00Z,complete,complete,1,553,0,553,0,202,26,351,351,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_hierarchical_conspiracy_climate_piggyback_2026-09-19_04-17-53,T2c_H_hierarchical_conspiracy_climate_piggyback,T2c_H,H,hierarchical,conspiracy_climate_piggyback,continuous,2026-09-19T04:00Z,complete,complete,1,435,0,435,0,153,1,282,282,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_hierarchical_conspiracy_depopulation_2026-09-19_04-17-53,T2c_H_hierarchical_conspiracy_depopulation,T2c_H,H,hierarchical,conspiracy_depopulation,continuous,2026-09-19T04:00Z,complete,complete,1,504,0,504,0,188,0,316,316,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_hierarchical_conspiracy_haarp_weather_2026-09-19_04-17-53,T2c_H_hierarchical_conspiracy_haarp_weather,T2c_H,H,hierarchical,conspiracy_haarp_weather,continuous,2026-09-19T04:00Z,complete,complete,1,410,0,410,0,155,0,255,255,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_hierarchical_environmental_concern_2026-09-19_04-28-19,T2c_H_hierarchical_environmental_concern,T2c_H,H,hierarchical,environmental_concern,continuous,2026-09-19T04:00Z,complete,complete,1,67,562,629,0,246,195,383,16,367,,195,367,562,0,0,0,0,0,0,0,1
T2c_H_hierarchical_mitigation_first_policy_2026-09-19_04-28-02,T2c_H_hierarchical_mitigation_first_policy,T2c_H,H,hierarchical,mitigation_first_policy,continuous,2026-09-19T04:00Z,complete,complete,1,72,523,595,0,219,160,376,13,363,,160,363,523,0,0,0,0,0,0,0,1
T2c_H_hierarchical_ozone_stratosphere_specialist_2026-09-19_04-31-07,T2c_H_hierarchical_ozone_stratosphere_specialist,T2c_H,H,hierarchical,ozone_stratosphere_specialist,continuous,2026-09-19T04:00Z,complete,complete,1,30,508,538,0,196,180,342,14,328,,180,328,508,0,0,0,0,0,0,0,1
T2c_H_hierarchical_science_journalist_2026-09-19_04-31-27,T2c_H_hierarchical_science_journalist,T2c_H,H,hierarchical,science_journalist,continuous,2026-09-19T04:00Z,complete,complete,1,220,431,651,0,249,226,402,197,205,,226,205,431,0,0,0,0,0,0,0,1
T2c_H_linear_chain_biodiversity_food_security_2026-09-19_02-52-45,T2c_H_linear_chain_biodiversity_food_security,T2c_H,H,linear_chain,biodiversity_food_security,continuous,2026-09-19T02:00Z,complete,complete,1,61,0,61,0,29,0,32,32,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_linear_chain_climate_action_advocate_2026-09-19_02-50-46,T2c_H_linear_chain_climate_action_advocate,T2c_H,H,linear_chain,climate_action_advocate,continuous,2026-09-19T02:00Z,complete,complete,1,67,0,67,0,30,0,37,37,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_linear_chain_climate_justice_youth_2026-09-19_02-51-20,T2c_H_linear_chain_climate_justice_youth,T2c_H,H,linear_chain,climate_justice_youth,continuous,2026-09-19T02:00Z,complete,complete,1,66,0,66,0,30,1,36,36,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_linear_chain_climate_scientist_2026-09-19_02-53-23,T2c_H_linear_chain_climate_scientist,T2c_H,H,linear_chain,climate_scientist,continuous,2026-09-19T02:00Z,complete,complete,1,80,0,80,0,39,0,41,41,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_linear_chain_conspiracy_believer_2026-09-19_02-49-25,T2c_H_linear_chain_conspiracy_believer,T2c_H,H,linear_chain,conspiracy_believer,continuous,2026-09-19T02:00Z,complete,complete,1,83,0,83,0,38,0,45,45,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_linear_chain_conspiracy_climate_piggyback_2026-09-19_02-49-25,T2c_H_linear_chain_conspiracy_climate_piggyback,T2c_H,H,linear_chain,conspiracy_climate_piggyback,continuous,2026-09-19T02:00Z,complete,complete,1,53,0,53,0,26,1,27,27,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_linear_chain_conspiracy_depopulation_2026-09-19_02-49-24,T2c_H_linear_chain_conspiracy_depopulation,T2c_H,H,linear_chain,conspiracy_depopulation,continuous,2026-09-19T02:00Z,complete,complete,1,91,0,91,0,43,0,48,48,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_linear_chain_conspiracy_haarp_weather_2026-09-19_02-49-24,T2c_H_linear_chain_conspiracy_haarp_weather,T2c_H,H,linear_chain,conspiracy_haarp_weather,continuous,2026-09-19T02:00Z,complete,complete,1,84,0,84,0,39,0,45,45,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_linear_chain_environmental_concern_2026-09-19_02-51-57,T2c_H_linear_chain_environmental_concern,T2c_H,H,linear_chain,environmental_concern,continuous,2026-09-19T02:00Z,complete,complete,1,67,0,67,0,32,0,35,35,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_linear_chain_mitigation_first_policy_2026-09-19_02-51-40,T2c_H_linear_chain_mitigation_first_policy,T2c_H,H,linear_chain,mitigation_first_policy,continuous,2026-09-19T02:00Z,complete,complete,1,51,0,51,0,24,0,27,27,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_linear_chain_ozone_stratosphere_specialist_2026-09-19_02-52-16,T2c_H_linear_chain_ozone_stratosphere_specialist,T2c_H,H,linear_chain,ozone_stratosphere_specialist,continuous,2026-09-19T02:00Z,complete,complete,1,76,0,76,0,35,0,41,41,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_linear_chain_science_journalist_2026-09-19_02-53-41,T2c_H_linear_chain_science_journalist,T2c_H,H,linear_chain,science_journalist,continuous,2026-09-19T02:00Z,complete,complete,1,45,0,45,0,20,0,25,25,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_polarized_biodiversity_food_security_2026-09-19_04-36-59,T2c_H_polarized_biodiversity_food_security,T2c_H,H,polarized,biodiversity_food_security,continuous,2026-09-19T04:00Z,complete,complete,1,918,0,918,0,339,0,579,579,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_polarized_climate_action_advocate_2026-09-19_04-30-42,T2c_H_polarized_climate_action_advocate,T2c_H,H,polarized,climate_action_advocate,continuous,2026-09-19T04:00Z,complete,complete,1,37,883,920,0,339,326,581,24,557,,326,557,883,0,0,0,0,0,0,0,1
T2c_H_polarized_climate_justice_youth_2026-09-19_04-30-49,T2c_H_polarized_climate_justice_youth,T2c_H,H,polarized,climate_justice_youth,continuous,2026-09-19T04:00Z,complete,complete,1,382,668,1050,0,390,366,660,358,302,,366,302,668,0,0,0,0,0,0,0,1
T2c_H_polarized_climate_scientist_2026-09-19_04-42-33,T2c_H_polarized_climate_scientist,T2c_H,H,polarized,climate_scientist,continuous,2026-09-19T04:00Z,complete,complete,1,920,0,920,0,354,0,566,566,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_polarized_conspiracy_believer_2026-09-19_04-17-42,T2c_H_polarized_conspiracy_believer,T2c_H,H,polarized,conspiracy_believer,continuous,2026-09-19T04:00Z,complete,complete,1,460,463,923,0,347,35,576,113,463,,0,463,463,0,0,0,0,0,0,0,1
T2c_H_polarized_conspiracy_climate_piggyback_2026-09-19_04-17-42,T2c_H_polarized_conspiracy_climate_piggyback,T2c_H,H,polarized,conspiracy_climate_piggyback,continuous,2026-09-19T04:00Z,complete,complete,1,402,418,820,0,307,3,513,95,418,,0,418,418,0,0,0,0,0,0,0,1
T2c_H_polarized_conspiracy_depopulation_2026-09-19_04-17-42,T2c_H_polarized_conspiracy_depopulation,T2c_H,H,polarized,conspiracy_depopulation,continuous,2026-09-19T04:00Z,complete,complete,1,387,732,1119,0,421,65,698,30,668,,64,668,732,0,0,0,0,0,0,0,1
T2c_H_polarized_conspiracy_haarp_weather_2026-09-19_04-17-42,T2c_H_polarized_conspiracy_haarp_weather,T2c_H,H,polarized,conspiracy_haarp_weather,continuous,2026-09-19T04:00Z,complete,complete,1,411,703,1114,0,414,31,700,27,673,,30,673,703,0,0,0,0,0,0,0,1
T2c_H_polarized_environmental_concern_2026-09-19_04-31-45,T2c_H_polarized_environmental_concern,T2c_H,H,polarized,environmental_concern,continuous,2026-09-19T04:00Z,complete,complete,1,764,297,1061,0,374,297,687,687,0,,297,0,297,0,0,0,0,0,0,0,1
T2c_H_polarized_mitigation_first_policy_2026-09-19_04-31-35,T2c_H_polarized_mitigation_first_policy,T2c_H,H,polarized,mitigation_first_policy,continuous,2026-09-19T04:00Z,complete,complete,1,727,311,1038,0,392,311,646,646,0,,311,0,311,0,0,0,0,0,0,0,1
T2c_H_polarized_ozone_stratosphere_specialist_2026-09-19_04-32-52,T2c_H_polarized_ozone_stratosphere_specialist,T2c_H,H,polarized,ozone_stratosphere_specialist,continuous,2026-09-19T04:00Z,complete,complete,1,1061,19,1080,0,399,19,681,681,0,,19,0,19,0,0,0,0,0,0,0,1
T2c_H_polarized_science_journalist_2026-09-19_04-43-11,T2c_H_polarized_science_journalist,T2c_H,H,polarized,science_journalist,continuous,2026-09-19T04:00Z,complete,complete,1,859,0,859,0,305,0,554,554,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_random_er_biodiversity_food_security_2026-09-19_03-33-32,T2c_H_random_er_biodiversity_food_security,T2c_H,H,random_er,biodiversity_food_security,continuous,2026-09-19T03:00Z,complete,complete,1,975,0,975,0,357,0,618,618,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_random_er_climate_action_advocate_2026-09-19_03-10-51,T2c_H_random_er_climate_action_advocate,T2c_H,H,random_er,climate_action_advocate,continuous,2026-09-19T03:00Z,complete,complete,1,781,0,781,0,281,0,500,500,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_random_er_climate_justice_youth_2026-09-19_03-21-04,T2c_H_random_er_climate_justice_youth,T2c_H,H,random_er,climate_justice_youth,continuous,2026-09-19T03:00Z,complete,complete,1,634,0,634,0,227,0,407,407,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_random_er_climate_scientist_2026-09-19_03-34-55,T2c_H_random_er_climate_scientist,T2c_H,H,random_er,climate_scientist,continuous,2026-09-19T03:00Z,complete,complete,1,1018,53,1071,0,409,0,662,609,53,,0,53,53,0,0,0,0,0,0,0,1
T2c_H_random_er_conspiracy_believer_2026-09-19_02-59-38,T2c_H_random_er_conspiracy_believer,T2c_H,H,random_er,conspiracy_believer,continuous,2026-09-19T02:00Z,complete,complete,1,951,0,951,0,351,11,600,600,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_random_er_conspiracy_climate_piggyback_2026-09-19_03-00-50,T2c_H_random_er_conspiracy_climate_piggyback,T2c_H,H,random_er,conspiracy_climate_piggyback,continuous,2026-09-19T03:00Z,complete,complete,1,1544,0,1544,0,586,21,958,958,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_random_er_conspiracy_depopulation_2026-09-19_02-59-53,T2c_H_random_er_conspiracy_depopulation,T2c_H,H,random_er,conspiracy_depopulation,continuous,2026-09-19T02:00Z,complete,complete,1,1136,0,1136,0,435,1,701,701,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_random_er_conspiracy_haarp_weather_2026-09-19_02-59-41,T2c_H_random_er_conspiracy_haarp_weather,T2c_H,H,random_er,conspiracy_haarp_weather,continuous,2026-09-19T02:00Z,complete,complete,1,570,0,570,0,212,0,358,358,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_random_er_environmental_concern_2026-09-19_03-26-13,T2c_H_random_er_environmental_concern,T2c_H,H,random_er,environmental_concern,continuous,2026-09-19T03:00Z,complete,complete,1,828,0,828,0,319,0,509,509,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_random_er_mitigation_first_policy_2026-09-19_03-24-12,T2c_H_random_er_mitigation_first_policy,T2c_H,H,random_er,mitigation_first_policy,continuous,2026-09-19T03:00Z,complete,complete,1,822,0,822,0,298,0,524,524,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_random_er_ozone_stratosphere_specialist_2026-09-19_03-33-20,T2c_H_random_er_ozone_stratosphere_specialist,T2c_H,H,random_er,ozone_stratosphere_specialist,continuous,2026-09-19T03:00Z,complete,complete,1,78,0,78,0,27,0,51,51,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_random_er_science_journalist_2026-09-19_03-41-14,T2c_H_random_er_science_journalist,T2c_H,H,random_er,science_journalist,continuous,2026-09-19T03:00Z,complete,complete,1,868,189,1057,0,389,0,668,479,189,,0,189,189,0,0,0,0,0,0,0,1
T2c_H_ring_biodiversity_food_security_2026-09-19_02-58-51,T2c_H_ring_biodiversity_food_security,T2c_H,H,ring,biodiversity_food_security,continuous,2026-09-19T02:00Z,complete,complete,1,72,0,72,0,34,0,38,38,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_ring_climate_action_advocate_2026-09-19_02-56-04,T2c_H_ring_climate_action_advocate,T2c_H,H,ring,climate_action_advocate,continuous,2026-09-19T02:00Z,complete,complete,1,77,0,77,0,36,0,41,41,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_ring_climate_justice_youth_2026-09-19_02-56-14,T2c_H_ring_climate_justice_youth,T2c_H,H,ring,climate_justice_youth,continuous,2026-09-19T02:00Z,complete,complete,1,59,0,59,0,28,0,31,31,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_ring_climate_scientist_2026-09-19_02-58-51,T2c_H_ring_climate_scientist,T2c_H,H,ring,climate_scientist,continuous,2026-09-19T02:00Z,complete,complete,1,83,0,83,0,40,0,43,43,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_ring_conspiracy_believer_2026-09-19_02-54-16,T2c_H_ring_conspiracy_believer,T2c_H,H,ring,conspiracy_believer,continuous,2026-09-19T02:00Z,complete,complete,1,67,0,67,0,31,1,36,36,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_ring_conspiracy_climate_piggyback_2026-09-19_02-55-28,T2c_H_ring_conspiracy_climate_piggyback,T2c_H,H,ring,conspiracy_climate_piggyback,continuous,2026-09-19T02:00Z,complete,complete,1,91,0,91,0,43,0,48,48,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_ring_conspiracy_depopulation_2026-09-19_02-54-43,T2c_H_ring_conspiracy_depopulation,T2c_H,H,ring,conspiracy_depopulation,continuous,2026-09-19T02:00Z,complete,complete,1,75,0,75,0,37,0,38,38,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_ring_conspiracy_haarp_weather_2026-09-19_02-54-16,T2c_H_ring_conspiracy_haarp_weather,T2c_H,H,ring,conspiracy_haarp_weather,continuous,2026-09-19T02:00Z,complete,complete,1,75,0,75,0,35,0,40,40,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_ring_environmental_concern_2026-09-19_02-58-51,T2c_H_ring_environmental_concern,T2c_H,H,ring,environmental_concern,continuous,2026-09-19T02:00Z,complete,complete,1,79,0,79,0,37,0,42,42,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_ring_mitigation_first_policy_2026-09-19_02-56-48,T2c_H_ring_mitigation_first_policy,T2c_H,H,ring,mitigation_first_policy,continuous,2026-09-19T02:00Z,complete,complete,1,64,0,64,0,30,0,34,34,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_ring_ozone_stratosphere_specialist_2026-09-19_02-58-51,T2c_H_ring_ozone_stratosphere_specialist,T2c_H,H,ring,ozone_stratosphere_specialist,continuous,2026-09-19T02:00Z,complete,complete,1,76,0,76,0,36,0,40,40,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_ring_science_journalist_2026-09-19_03-00-29,T2c_H_ring_science_journalist,T2c_H,H,ring,science_journalist,continuous,2026-09-19T03:00Z,complete,complete,1,65,0,65,0,30,0,35,35,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_scale_free_biodiversity_food_security_2026-09-19_04-32-40,T2c_H_scale_free_biodiversity_food_security,T2c_H,H,scale_free,biodiversity_food_security,continuous,2026-09-19T04:00Z,complete,complete,1,1166,45,1211,0,438,45,773,773,0,,114,0,114,0,0,0,0,0,0,0,1
T2c_H_scale_free_climate_action_advocate_2026-09-19_03-57-46,T2c_H_scale_free_climate_action_advocate,T2c_H,H,scale_free,climate_action_advocate,continuous,2026-09-19T03:00Z,complete,complete,1,1167,30,1197,0,439,30,758,758,0,,30,0,30,0,0,0,0,0,0,0,1
T2c_H_scale_free_climate_justice_youth_2026-09-19_04-01-22,T2c_H_scale_free_climate_justice_youth,T2c_H,H,scale_free,climate_justice_youth,continuous,2026-09-19T04:00Z,complete,complete,1,913,0,913,0,326,0,587,587,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_scale_free_climate_scientist_2026-09-19_04-40-48,T2c_H_scale_free_climate_scientist,T2c_H,H,scale_free,climate_scientist,continuous,2026-09-19T04:00Z,complete,complete,1,1481,0,1481,0,562,0,919,919,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_scale_free_conspiracy_believer_2026-09-19_03-35-38,T2c_H_scale_free_conspiracy_believer,T2c_H,H,scale_free,conspiracy_believer,continuous,2026-09-19T03:00Z,complete,complete,1,1083,187,1270,0,475,17,795,608,187,,0,187,187,0,0,0,0,0,0,0,1
T2c_H_scale_free_conspiracy_climate_piggyback_2026-09-19_03-57-14,T2c_H_scale_free_conspiracy_climate_piggyback,T2c_H,H,scale_free,conspiracy_climate_piggyback,continuous,2026-09-19T03:00Z,complete,complete,1,1176,63,1239,0,462,68,777,777,0,,63,0,63,0,0,0,0,0,0,0,1
T2c_H_scale_free_conspiracy_depopulation_2026-09-19_03-35-38,T2c_H_scale_free_conspiracy_depopulation,T2c_H,H,scale_free,conspiracy_depopulation,continuous,2026-09-19T03:00Z,complete,complete,1,1101,65,1166,0,429,0,737,672,65,,0,65,65,0,0,0,0,0,0,0,1
T2c_H_scale_free_conspiracy_haarp_weather_2026-09-19_03-35-38,T2c_H_scale_free_conspiracy_haarp_weather,T2c_H,H,scale_free,conspiracy_haarp_weather,continuous,2026-09-19T03:00Z,complete,complete,1,1133,0,1133,0,412,1,721,721,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_scale_free_environmental_concern_2026-09-19_04-21-27,T2c_H_scale_free_environmental_concern,T2c_H,H,scale_free,environmental_concern,continuous,2026-09-19T04:00Z,complete,complete,1,253,954,1207,0,450,232,757,35,722,,232,722,954,0,0,0,0,0,0,0,1
T2c_H_scale_free_mitigation_first_policy_2026-09-19_04-32-32,T2c_H_scale_free_mitigation_first_policy,T2c_H,H,scale_free,mitigation_first_policy,continuous,2026-09-19T04:00Z,complete,complete,1,807,44,851,0,321,44,530,530,0,,44,154,198,0,0,0,0,0,0,0,1
T2c_H_scale_free_ozone_stratosphere_specialist_2026-09-19_04-21-34,T2c_H_scale_free_ozone_stratosphere_specialist,T2c_H,H,scale_free,ozone_stratosphere_specialist,continuous,2026-09-19T04:00Z,complete,complete,1,287,868,1155,0,418,166,737,35,702,,166,702,868,0,0,0,0,0,0,0,1
T2c_H_scale_free_science_journalist_2026-09-19_04-43-56,T2c_H_scale_free_science_journalist,T2c_H,H,scale_free,science_journalist,continuous,2026-09-19T04:00Z,complete,complete,1,1114,0,1114,0,413,0,701,701,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_small_world_biodiversity_food_security_2026-09-19_04-30-46,T2c_H_small_world_biodiversity_food_security,T2c_H,H,small_world,biodiversity_food_security,continuous,2026-09-19T04:00Z,complete,complete,1,41,704,745,0,277,266,468,30,438,,266,1110,1376,0,0,0,0,0,0,0,1
T2c_H_small_world_climate_action_advocate_2026-09-19_03-51-13,T2c_H_small_world_climate_action_advocate,T2c_H,H,small_world,climate_action_advocate,continuous,2026-09-19T03:00Z,complete,complete,1,856,57,913,0,326,57,587,587,0,,57,0,57,0,0,0,0,0,0,0,1
T2c_H_small_world_climate_justice_youth_2026-09-19_04-07-19,T2c_H_small_world_climate_justice_youth,T2c_H,H,small_world,climate_justice_youth,continuous,2026-09-19T04:00Z,complete,complete,1,948,481,1429,0,542,0,887,406,481,,0,481,481,0,0,0,0,0,0,0,1
T2c_H_small_world_climate_scientist_2026-09-19_04-30-51,T2c_H_small_world_climate_scientist,T2c_H,H,small_world,climate_scientist,continuous,2026-09-19T04:00Z,complete,complete,1,700,611,1311,0,482,456,829,674,155,,456,516,972,0,0,0,0,0,0,0,1
T2c_H_small_world_conspiracy_believer_2026-09-19_03-43-57,T2c_H_small_world_conspiracy_believer,T2c_H,H,small_world,conspiracy_believer,continuous,2026-09-19T03:00Z,complete,complete,1,1078,65,1143,0,431,112,712,712,0,,65,0,65,0,0,0,0,0,0,0,1
T2c_H_small_world_conspiracy_climate_piggyback_2026-09-19_04-00-45,T2c_H_small_world_conspiracy_climate_piggyback,T2c_H,H,small_world,conspiracy_climate_piggyback,continuous,2026-09-19T04:00Z,complete,complete,1,927,0,927,0,342,1,585,585,0,,0,0,0,0,0,0,0,0,0,0,1
T2c_H_small_world_conspiracy_depopulation_2026-09-19_03-57-43,T2c_H_small_world_conspiracy_depopulation,T2c_H,H,small_world,conspiracy_depopulation,continuous,2026-09-19T03:00Z,complete,complete,1,890,87,977,0,360,87,617,617,0,,87,72,159,0,0,0,0,0,0,0,1
T2c_H_small_world_conspiracy_haarp_weather_2026-09-19_03-52-36,T2c_H_small_world_conspiracy_haarp_weather,T2c_H,H,small_world,conspiracy_haarp_weather,continuous,2026-09-19T03:00Z,complete,complete,1,1355,56,1411,0,541,56,870,870,0,,56,0,56,0,0,0,0,0,0,0,1
T2c_H_small_world_environmental_concern_2026-09-19_04-19-28,T2c_H_small_world_environmental_concern,T2c_H,H,small_world,environmental_concern,continuous,2026-09-19T04:00Z,complete,complete,1,299,438,737,0,266,4,471,37,434,,4,434,438,0,0,0,0,0,0,0,1
T2c_H_small_world_mitigation_first_policy_2026-09-19_04-15-50,T2c_H_small_world_mitigation_first_policy,T2c_H,H,small_world,mitigation_first_policy,continuous,2026-09-19T04:00Z,complete,complete,1,429,1011,1440,0,522,140,918,47,871,,140,871,1011,0,0,0,0,0,0,0,1
