experimentName,selectedRunDir,nRunDirectories,nCompleteRuns,nCleanCompleteRuns,cleanReplacementRunDirs,hasCleanReplacement
T2c_H_linear_chain_climate_action_advocate,T2c_H_linear_chain_climate_action_advocate_2026-09-19_02-50-46,1,1,0,,False
T2c_H_linear_chain_climate_justice_youth,T2c_H_linear_chain_climate_justice_youth_2026-09-19_02-51-20,1,1,0,,False
T2c_H_linear_chain_climate_scientist,T2c_H_linear_chain_climate_scientist_2026-09-19_02-53-23,1,1,0,,False
T2c_H_linear_chain_conspiracy_believer,T2c_H_linear_chain_conspiracy_believer_2026-09-19_02-49-25,1,1,0,,False
T2c_H_linear_chain_conspiracy_climate_piggyback,T2c_H_linear_chain_conspiracy_climate_piggyback_2026-09-19_02-49-25,1,1,0,,False
T2c_H_linear_chain_conspiracy_depopulation,T2c_H_linear_chain_conspiracy_depopulation_2026-09-19_02-49-24,1,1,0,,False
T2c_H_linear_chain_conspiracy_haarp_weather,T2c_H_linear_chain_conspiracy_haarp_weather_2026-09-19_02-49-24,1,1,0,,False
T2c_H_linear_chain_environmental_concern,T2c_H_linear_chain_environmental_concern_2026-09-19_02-51-57,1,1,0,,False
T2c_H_linear_chain_mitigation_first_policy,T2c_H_linear_chain_mitigation_first_policy_2026-09-19_02-51-40,1,1,0,,False
T2c_H_linear_chain_ozone_stratosphere_specialist,T2c_H_linear_chain_ozone_stratosphere_specialist_2026-09-19_02-52-16,1,1,0,,False
T2c_H_linear_chain_science_journalist,T2c_H_linear_chain_science_journalist_2026-09-19_02-53-41,1,1,0,,False
T2c_H_polarized_biodiversity_food_security,T2c_H_polarized_biodiversity_food_security_2026-09-19_04-36-59,1,1,0,,False
T2c_H_polarized_climate_action_advocate,T2c_H_polarized_climate_action_advocate_2026-09-19_04-30-42,1,1,0,,False
T2c_H_polarized_climate_justice_youth,T2c_H_polarized_climate_justice_youth_2026-09-19_04-30-49,1,1,0,,False
T2c_H_polarized_climate_scientist,T2c_H_polarized_climate_scientist_2026-09-19_04-42-33,1,1,0,,False
T2c_H_polarized_conspiracy_believer,T2c_H_polarized_conspiracy_believer_2026-09-19_04-17-42,1,1,0,,False
T2c_H_polarized_conspiracy_climate_piggyback,T2c_H_polarized_conspiracy_climate_piggyback_2026-09-19_04-17-42,1,1,0,,False
T2c_H_polarized_conspiracy_depopulation,T2c_H_polarized_conspiracy_depopulation_2026-09-19_04-17-42,1,1,0,,False
T2c_H_polarized_conspiracy_haarp_weather,T2c_H_polarized_conspiracy_haarp_weather_2026-09-19_04-17-42,1,1,0,,False
T2c_H_polarized_environmental_concern,T2c_H_polarized_environmental_concern_2026-09-19_04-31-45,1,1,0,,False
T2c_H_polarized_mitigation_first_policy,T2c_H_polarized_mitigation_first_policy_2026-09-19_04-31-35,1,1,0,,False
T2c_H_polarized_ozone_stratosphere_specialist,T2c_H_polarized_ozone_stratosphere_specialist_2026-09-19_04-32-52,1,1,0,,False
T2c_H_polarized_science_journalist,T2c_H_polarized_science_journalist_2026-09-19_04-43-11,1,1,0,,False
T2c_H_random_er_biodiversity_food_security,T2c_H_random_er_biodiversity_food_security_2026-09-19_03-33-32,1,1,0,,False
T2c_H_random_er_climate_action_advocate,T2c_H_random_er_climate_action_advocate_2026-09-19_03-10-51,1,1,0,,False
T2c_H_random_er_climate_justice_youth,T2c_H_random_er_climate_justice_youth_2026-09-19_03-21-04,1,1,0,,False
T2c_H_random_er_climate_scientist,T2c_H_random_er_climate_scientist_2026-09-19_03-34-55,1,1,0,,False
T2c_H_random_er_conspiracy_believer,T2c_H_random_er_conspiracy_believer_2026-09-19_02-59-38,1,1,0,,False
T2c_H_random_er_conspiracy_climate_piggyback,T2c_H_random_er_conspiracy_climate_piggyback_2026-09-19_03-00-50,1,1,0,,False
T2c_H_random_er_conspiracy_depopulation,T2c_H_random_er_conspiracy_depopulation_2026-09-19_02-59-53,1,1,0,,False
T2c_H_random_er_conspiracy_haarp_weather,T2c_H_random_er_conspiracy_haarp_weather_2026-09-19_02-59-41,1,1,0,,False
T2c_H_random_er_environmental_concern,T2c_H_random_er_environmental_concern_2026-09-19_03-26-13,1,1,0,,False
T2c_H_random_er_mitigation_first_policy,T2c_H_random_er_mitigation_first_policy_2026-09-19_03-24-12,1,1,0,,False
T2c_H_random_er_ozone_stratosphere_specialist,T2c_H_random_er_ozone_stratosphere_specialist_2026-09-19_03-33-20,1,1,0,,False
T2c_H_random_er_science_journalist,T2c_H_random_er_science_journalist_2026-09-19_03-41-14,1,1,0,,False
T2c_H_ring_biodiversity_food_security,T2c_H_ring_biodiversity_food_security_2026-09-19_02-58-51,2,2,1,T2c_H_ring_biodiversity_food_security_2026-09-19_02-57-50,True
T2c_H_ring_climate_action_advocate,T2c_H_ring_climate_action_advocate_2026-09-19_02-56-04,1,1,0,,False
T2c_H_ring_climate_justice_youth,T2c_H_ring_climate_justice_youth_2026-09-19_02-56-14,1,1,0,,False
T2c_H_ring_climate_scientist,T2c_H_ring_climate_scientist_2026-09-19_02-58-51,2,2,1,T2c_H_ring_climate_scientist_2026-09-19_02-58-11,True
T2c_H_ring_conspiracy_believer,T2c_H_ring_conspiracy_believer_2026-09-19_02-54-16,1,1,0,,False
T2c_H_ring_conspiracy_climate_piggyback,T2c_H_ring_conspiracy_climate_piggyback_2026-09-19_02-55-28,1,1,0,,False
T2c_H_ring_conspiracy_depopulation,T2c_H_ring_conspiracy_depopulation_2026-09-19_02-54-43,1,1,0,,False
T2c_H_ring_conspiracy_haarp_weather,T2c_H_ring_conspiracy_haarp_weather_2026-09-19_02-54-16,1,1,0,,False
T2c_H_ring_environmental_concern,T2c_H_ring_environmental_concern_2026-09-19_02-58-51,2,2,1,T2c_H_ring_environmental_concern_2026-09-19_02-57-27,True
T2c_H_ring_mitigation_first_policy,T2c_H_ring_mitigation_first_policy_2026-09-19_02-56-48,1,1,0,,False
T2c_H_ring_ozone_stratosphere_specialist,T2c_H_ring_ozone_stratosphere_specialist_2026-09-19_02-58-51,2,2,1,T2c_H_ring_ozone_stratosphere_specialist_2026-09-19_02-57-36,True
T2c_H_ring_science_journalist,T2c_H_ring_science_journalist_2026-09-19_03-00-29,2,2,1,T2c_H_ring_science_journalist_2026-09-19_02-59-15,True
T2c_H_scale_free_biodiversity_food_security,T2c_H_scale_free_biodiversity_food_security_2026-09-19_04-32-40,2,2,0,,False
T2c_H_scale_free_climate_action_advocate,T2c_H_scale_free_climate_action_advocate_2026-09-19_03-57-46,1,1,0,,False
T2c_H_scale_free_climate_justice_youth,T2c_H_scale_free_climate_justice_youth_2026-09-19_04-01-22,1,1,0,,False
T2c_H_scale_free_climate_scientist,T2c_H_scale_free_climate_scientist_2026-09-19_04-40-48,2,2,0,,False
T2c_H_scale_free_conspiracy_believer,T2c_H_scale_free_conspiracy_believer_2026-09-19_03-35-38,1,1,0,,False
T2c_H_scale_free_conspiracy_climate_piggyback,T2c_H_scale_free_conspiracy_climate_piggyback_2026-09-19_03-57-14,1,1,0,,False
T2c_H_scale_free_conspiracy_depopulation,T2c_H_scale_free_conspiracy_depopulation_2026-09-19_03-35-38,1,1,0,,False
T2c_H_scale_free_conspiracy_haarp_weather,T2c_H_scale_free_conspiracy_haarp_weather_2026-09-19_03-35-38,1,1,0,,False
T2c_H_scale_free_environmental_concern,T2c_H_scale_free_environmental_concern_2026-09-19_04-21-27,1,1,0,,False
T2c_H_scale_free_mitigation_first_policy,T2c_H_scale_free_mitigation_first_policy_2026-09-19_04-32-32,2,2,0,,False
T2c_H_scale_free_ozone_stratosphere_specialist,T2c_H_scale_free_ozone_stratosphere_specialist_2026-09-19_04-21-34,1,1,0,,False
T2c_H_scale_free_science_journalist,T2c_H_scale_free_science_journalist_2026-09-19_04-43-56,2,2,0,,False
T2c_H_small_world_biodiversity_food_security,T2c_H_small_world_biodiversity_food_security_2026-09-19_04-30-46,2,2,0,,False
T2c_H_small_world_climate_action_advocate,T2c_H_small_world_climate_action_advocate_2026-09-19_03-51-13,1,1,0,,False
T2c_H_small_world_climate_justice_youth,T2c_H_small_world_climate_justice_youth_2026-09-19_04-07-19,2,2,0,,False
T2c_H_small_world_climate_scientist,T2c_H_small_world_climate_scientist_2026-09-19_04-30-51,2,2,0,,False
T2c_H_small_world_conspiracy_believer,T2c_H_small_world_conspiracy_believer_2026-09-19_03-43-57,2,2,1,T2c_H_small_world_conspiracy_believer_2026-09-19_03-35-37,True
T2c_H_small_world_conspiracy_climate_piggyback,T2c_H_small_world_conspiracy_climate_piggyback_2026-09-19_04-00-45,2,2,0,,False
T2c_H_small_world_conspiracy_depopulation,T2c_H_small_world_conspiracy_depopulation_2026-09-19_03-57-43,2,2,0,,False
T2c_H_small_world_conspiracy_haarp_weather,T2c_H_small_world_conspiracy_haarp_weather_2026-09-19_03-52-36,2,2,1,T2c_H_small_world_conspiracy_haarp_weather_2026-09-19_03-35-37,True
T2c_H_small_world_environmental_concern,T2c_H_small_world_environmental_concern_2026-09-19_04-19-28,2,2,1,T2c_H_small_world_environmental_concern_2026-09-19_04-02-06,True
T2c_H_small_world_mitigation_first_policy,T2c_H_small_world_mitigation_first_policy_2026-09-19_04-15-50,2,2,0,,False
T2c_H_small_world_ozone_stratosphere_specialist,T2c_H_small_world_ozone_stratosphere_specialist_2026-09-19_04-20-38,2,2,0,,False
T2c_H_small_world_science_journalist,T2c_H_small_world_science_journalist_2026-09-19_04-32-03,2,2,0,,False
T2c_He_echo_chamber_mix_00,T2c_He_echo_chamber_mix_00_2026-09-19_04-13-27,2,1,0,,False
T2c_He_echo_chamber_mix_01,T2c_He_echo_chamber_mix_01_2026-09-19_04-13-27,2,1,0,,False
T2c_He_echo_chamber_mix_02,T2c_He_echo_chamber_mix_02_2026-09-19_04-13-27,2,1,0,,False
T2c_He_echo_chamber_mix_03,T2c_He_echo_chamber_mix_03_2026-09-19_04-13-27,2,1,0,,False
T2c_He_echo_chamber_mix_04,T2c_He_echo_chamber_mix_04_2026-09-19_04-30-04,3,2,0,,False
T2c_He_echo_chamber_mix_05,T2c_He_echo_chamber_mix_05_2026-09-19_04-30-13,3,2,0,,False
T2c_He_hierarchical_mix_00,T2c_He_hierarchical_mix_00_2026-09-19_04-14-39,2,1,0,,False
T2c_He_hierarchical_mix_01,T2c_He_hierarchical_mix_01_2026-09-19_04-14-39,2,1,0,,False
T2c_He_hierarchical_mix_02,T2c_He_hierarchical_mix_02_2026-09-19_04-15-22,2,1,0,,False
T2c_He_hierarchical_mix_03,T2c_He_hierarchical_mix_03_2026-09-19_04-15-33,2,1,0,,False
T2c_He_hierarchical_mix_04,T2c_He_hierarchical_mix_04_2026-09-19_04-16-17,2,1,0,,False
T2c_He_hierarchical_mix_05,T2c_He_hierarchical_mix_05_2026-09-19_04-16-36,2,1,0,,False
T2c_He_linear_chain_mix_00,T2c_He_linear_chain_mix_00_2026-09-19_02-49-25,1,1,0,,False
T2c_He_linear_chain_mix_01,T2c_He_linear_chain_mix_01_2026-09-19_02-49-25,1,1,0,,False
T2c_He_linear_chain_mix_02,T2c_He_linear_chain_mix_02_2026-09-19_02-49-24,1,1,0,,False
T2c_He_linear_chain_mix_03,T2c_He_linear_chain_mix_03_2026-09-19_02-49-24,1,1,0,,False
T2c_He_linear_chain_mix_04,T2c_He_linear_chain_mix_04_2026-09-19_02-50-57,1,1,0,,False
T2c_He_linear_chain_mix_05,T2c_He_linear_chain_mix_05_2026-09-19_02-51-10,1,1,0,,False
T2c_He_polarized_mix_00,T2c_He_polarized_mix_00_2026-09-19_04-17-42,2,1,0,,False
T2c_He_polarized_mix_01,T2c_He_polarized_mix_01_2026-09-19_04-17-42,2,1,0,,False
T2c_He_polarized_mix_02,T2c_He_polarized_mix_02_2026-09-19_04-17-42,2,1,0,,False
T2c_He_polarized_mix_03,T2c_He_polarized_mix_03_2026-09-19_04-17-42,2,1,0,,False
T2c_He_polarized_mix_04,T2c_He_polarized_mix_04_2026-09-19_04-18-19,3,2,0,,False
T2c_He_polarized_mix_05,T2c_He_polarized_mix_05_2026-09-19_04-18-21,2,1,0,,False
T2c_He_random_er_mix_00,T2c_He_random_er_mix_00_2026-09-19_02-54-09,1,1,0,,False
T2c_He_random_er_mix_01,T2c_He_random_er_mix_01_2026-09-19_02-54-39,1,1,0,,False
T2c_He_random_er_mix_02,T2c_He_random_er_mix_02_2026-09-19_02-54-46,1,1,0,,False
T2c_He_random_er_mix_03,T2c_He_random_er_mix_03_2026-09-19_02-55-13,1,1,0,,False
T2c_He_random_er_mix_04,T2c_He_random_er_mix_04_2026-09-19_03-11-03,1,1,0,,False
T2c_He_random_er_mix_05,T2c_He_random_er_mix_05_2026-09-19_03-14-24,1,1,0,,False
T2c_He_ring_mix_00,T2c_He_ring_mix_00_2026-09-19_02-51-24,1,1,0,,False
T2c_He_ring_mix_01,T2c_He_ring_mix_01_2026-09-19_02-51-34,1,1,0,,False
T2c_He_ring_mix_02,T2c_He_ring_mix_02_2026-09-19_02-52-45,1,1,0,,False
T2c_He_ring_mix_03,T2c_He_ring_mix_03_2026-09-19_02-52-49,1,1,0,,False
T2c_He_ring_mix_04,T2c_He_ring_mix_04_2026-09-19_02-53-12,1,1,0,,False
T2c_He_ring_mix_05,T2c_He_ring_mix_05_2026-09-19_02-53-31,1,1,0,,False
T2c_He_scale_free_mix_00,T2c_He_scale_free_mix_00_2026-09-19_03-47-49,2,2,0,,False
T2c_He_scale_free_mix_01,T2c_He_scale_free_mix_01_2026-09-19_03-50-20,2,2,1,T2c_He_scale_free_mix_01_2026-09-19_03-35-37,True
T2c_He_scale_free_mix_02,T2c_He_scale_free_mix_02_2026-09-19_03-35-37,1,1,0,,False
T2c_He_scale_free_mix_03,T2c_He_scale_free_mix_03_2026-09-19_03-35-37,1,1,0,,False
T2c_He_scale_free_mix_04,T2c_He_scale_free_mix_04_2026-09-19_04-02-50,2,2,0,,False
T2c_He_scale_free_mix_05,T2c_He_scale_free_mix_05_2026-09-19_04-05-58,2,2,0,,False
T2c_He_small_world_mix_00,T2c_He_small_world_mix_00_2026-09-19_03-18-01,1,1,0,,False
T2c_He_small_world_mix_01,T2c_He_small_world_mix_01_2026-09-19_03-21-24,1,1,0,,False
T2c_He_small_world_mix_02,T2c_He_small_world_mix_02_2026-09-19_03-22-26,1,1,0,,False
T2c_He_small_world_mix_03,T2c_He_small_world_mix_03_2026-09-19_03-23-28,1,1,0,,False
T2c_He_small_world_mix_04,T2c_He_small_world_mix_04_2026-09-19_03-37-44,1,1,0,,False
T2c_He_small_world_mix_05,T2c_He_small_world_mix_05_2026-09-19_03-41-18,1,1,0,,False
T2d_H_echo_chamber_biodiversity_food_security,T2d_H_echo_chamber_biodiversity_food_security_2026-09-19_02-50-24,1,1,0,,False
T2d_H_echo_chamber_climate_action_advocate,T2d_H_echo_chamber_climate_action_advocate_2026-09-19_02-50-24,1,1,0,,False
T2d_H_echo_chamber_climate_justice_youth,T2d_H_echo_chamber_climate_justice_youth_2026-09-19_02-50-24,1,1,0,,False
T2d_H_echo_chamber_climate_scientist,T2d_H_echo_chamber_climate_scientist_2026-09-19_02-50-24,1,1,0,,False
T2d_H_echo_chamber_conspiracy_believer,T2d_H_echo_chamber_conspiracy_believer_2026-09-19_03-07-58,1,1,0,,False
T2d_H_echo_chamber_conspiracy_climate_piggyback,T2d_H_echo_chamber_conspiracy_climate_piggyback_2026-09-19_03-11-22,1,1,0,,False
T2d_H_echo_chamber_conspiracy_depopulation,T2d_H_echo_chamber_conspiracy_depopulation_2026-09-19_03-15-16,1,1,0,,False
T2d_H_echo_chamber_conspiracy_haarp_weather,T2d_H_echo_chamber_conspiracy_haarp_weather_2026-09-19_03-15-42,1,1,0,,False
T2d_H_echo_chamber_environmental_concern,T2d_H_echo_chamber_environmental_concern_2026-09-19_03-32-51,1,1,0,,False
T2d_H_echo_chamber_mitigation_first_policy,T2d_H_echo_chamber_mitigation_first_policy_2026-09-19_03-38-45,1,1,0,,False
T2d_H_echo_chamber_ozone_stratosphere_specialist,T2d_H_echo_chamber_ozone_stratosphere_specialist_2026-09-19_03-40-35,1,1,0,,False
T2d_H_echo_chamber_science_journalist,T2d_H_echo_chamber_science_journalist_2026-09-19_03-42-36,1,1,0,,False
T2d_H_hierarchical_biodiversity_food_security,T2d_H_hierarchical_biodiversity_food_security_2026-09-19_03-55-30,1,1,0,,False
T2d_H_hierarchical_climate_action_advocate,T2d_H_hierarchical_climate_action_advocate_2026-09-19_03-57-42,1,1,0,,False
T2d_H_hierarchical_climate_justice_youth,T2d_H_hierarchical_climate_justice_youth_2026-09-19_03-57-50,1,1,0,,False
T2d_H_hierarchical_climate_scientist,T2d_H_hierarchical_climate_scientist_2026-09-19_03-58-00,1,1,0,,False
T2d_H_hierarchical_conspiracy_believer,T2d_H_hierarchical_conspiracy_believer_2026-09-19_04-05-15,1,1,0,,False
T2d_H_hierarchical_conspiracy_climate_piggyback,T2d_H_hierarchical_conspiracy_climate_piggyback_2026-09-19_04-05-59,1,1,0,,False
T2d_H_hierarchical_conspiracy_depopulation,T2d_H_hierarchical_conspiracy_depopulation_2026-09-19_04-06-38,1,1,0,,False
T2d_H_hierarchical_conspiracy_haarp_weather,T2d_H_hierarchical_conspiracy_haarp_weather_2026-09-19_04-09-49,1,1,0,,False
T2d_H_hierarchical_environmental_concern,T2d_H_hierarchical_environmental_concern_2026-09-19_04-13-49,1,1,0,,False
T2d_H_hierarchical_mitigation_first_policy,T2d_H_hierarchical_mitigation_first_policy_2026-09-19_04-16-30,1,1,0,,False
T2d_H_hierarchical_ozone_stratosphere_specialist,T2d_H_hierarchical_ozone_stratosphere_specialist_2026-09-19_04-17-32,1,1,0,,False
T2d_H_hierarchical_science_journalist,T2d_H_hierarchical_science_journalist_2026-09-19_04-20-14,1,1,0,,False
T2d_H_linear_chain_biodiversity_food_security,T2d_H_linear_chain_biodiversity_food_security_2026-09-19_02-53-05,1,1,0,,False
T2d_H_linear_chain_climate_action_advocate,T2d_H_linear_chain_climate_action_advocate_2026-09-19_02-50-54,1,1,0,,False
T2d_H_linear_chain_climate_justice_youth,T2d_H_linear_chain_climate_justice_youth_2026-09-19_02-51-14,1,1,0,,False
T2d_H_linear_chain_climate_scientist,T2d_H_linear_chain_climate_scientist_2026-09-19_02-53-33,1,1,0,,False
T2d_H_linear_chain_conspiracy_believer,T2d_H_linear_chain_conspiracy_believer_2026-09-19_02-49-25,1,1,0,,False
T2d_H_linear_chain_conspiracy_climate_piggyback,T2d_H_linear_chain_conspiracy_climate_piggyback_2026-09-19_02-49-25,1,1,0,,False
T2d_H_linear_chain_conspiracy_depopulation,T2d_H_linear_chain_conspiracy_depopulation_2026-09-19_02-49-25,1,1,0,,False
T2d_H_linear_chain_conspiracy_haarp_weather,T2d_H_linear_chain_conspiracy_haarp_weather_2026-09-19_02-49-25,1,1,0,,False
T2d_H_linear_chain_environmental_concern,T2d_H_linear_chain_environmental_concern_2026-09-19_02-51-20,1,1,0,,False
T2d_H_linear_chain_mitigation_first_policy,T2d_H_linear_chain_mitigation_first_policy_2026-09-19_02-51-19,1,1,0,,False
T2d_H_linear_chain_ozone_stratosphere_specialist,T2d_H_linear_chain_ozone_stratosphere_specialist_2026-09-19_02-53-04,1,1,0,,False
T2d_H_linear_chain_science_journalist,T2d_H_linear_chain_science_journalist_2026-09-19_02-54-17,1,1,0,,False
T2d_H_polarized_biodiversity_food_security,T2d_H_polarized_biodiversity_food_security_2026-09-19_04-25-13,1,1,0,,False
T2d_H_polarized_climate_action_advocate,T2d_H_polarized_climate_action_advocate_2026-09-19_04-30-42,2,2,0,,False
T2d_H_polarized_climate_justice_youth,T2d_H_polarized_climate_justice_youth_2026-09-19_04-30-59,2,2,0,,False
T2d_H_polarized_climate_scientist,T2d_H_polarized_climate_scientist_2026-09-19_04-28-33,1,1,0,,False
T2d_H_polarized_conspiracy_believer,T2d_H_polarized_conspiracy_believer_2026-09-19_04-17-42,1,1,0,,False
T2d_H_polarized_conspiracy_climate_piggyback,T2d_H_polarized_conspiracy_climate_piggyback_2026-09-19_04-17-42,1,1,0,,False
T2d_H_polarized_conspiracy_depopulation,T2d_H_polarized_conspiracy_depopulation_2026-09-19_04-17-42,1,1,0,,False
T2d_H_polarized_conspiracy_haarp_weather,T2d_H_polarized_conspiracy_haarp_weather_2026-09-19_04-17-42,1,1,0,,False
T2d_H_polarized_environmental_concern,T2d_H_polarized_environmental_concern_2026-09-19_04-31-45,2,2,0,,False
T2d_H_polarized_mitigation_first_policy,T2d_H_polarized_mitigation_first_policy_2026-09-19_04-32-04,2,2,0,,False
T2d_H_polarized_ozone_stratosphere_specialist,T2d_H_polarized_ozone_stratosphere_specialist_2026-09-19_04-49-20,3,2,0,,False
T2d_H_polarized_science_journalist,T2d_H_polarized_science_journalist_2026-09-19_04-33-08,2,2,0,,False
T2d_H_random_er_biodiversity_food_security,T2d_H_random_er_biodiversity_food_security_2026-09-19_03-35-36,1,1,0,,False
T2d_H_random_er_climate_action_advocate,T2d_H_random_er_climate_action_advocate_2026-09-19_03-08-33,1,1,0,,False
T2d_H_random_er_climate_justice_youth,T2d_H_random_er_climate_justice_youth_2026-09-19_03-14-49,1,1,0,,False
T2d_H_random_er_climate_scientist,T2d_H_random_er_climate_scientist_2026-09-19_03-37-35,1,1,0,,False
T2d_H_random_er_conspiracy_believer,T2d_H_random_er_conspiracy_believer_2026-09-19_02-59-49,1,1,0,,False
T2d_H_random_er_conspiracy_climate_piggyback,T2d_H_random_er_conspiracy_climate_piggyback_2026-09-19_03-01-49,1,1,0,,False
T2d_H_random_er_conspiracy_depopulation,T2d_H_random_er_conspiracy_depopulation_2026-09-19_03-01-29,1,1,0,,False
T2d_H_random_er_conspiracy_haarp_weather,T2d_H_random_er_conspiracy_haarp_weather_2026-09-19_02-59-53,1,1,0,,False
T2d_H_random_er_environmental_concern,T2d_H_random_er_environmental_concern_2026-09-19_03-21-07,1,1,0,,False
T2d_H_random_er_mitigation_first_policy,T2d_H_random_er_mitigation_first_policy_2026-09-19_03-20-54,1,1,0,,False
T2d_H_random_er_ozone_stratosphere_specialist,T2d_H_random_er_ozone_stratosphere_specialist_2026-09-19_03-25-53,1,1,0,,False
T2d_H_random_er_science_journalist,T2d_H_random_er_science_journalist_2026-09-19_03-41-01,1,1,0,,False
T2d_H_ring_biodiversity_food_security,T2d_H_ring_biodiversity_food_security_2026-09-19_02-58-23,1,1,0,,False
T2d_H_ring_climate_action_advocate,T2d_H_ring_climate_action_advocate_2026-09-19_02-56-28,1,1,0,,False
T2d_H_ring_climate_justice_youth,T2d_H_ring_climate_justice_youth_2026-09-19_02-56-57,1,1,0,,False
T2d_H_ring_climate_scientist,T2d_H_ring_climate_scientist_2026-09-19_02-59-25,1,1,0,,False
T2d_H_ring_conspiracy_believer,T2d_H_ring_conspiracy_believer_2026-09-19_02-55-05,1,1,0,,False
T2d_H_ring_conspiracy_climate_piggyback,T2d_H_ring_conspiracy_climate_piggyback_2026-09-19_02-56-03,1,1,0,,False
T2d_H_ring_conspiracy_depopulation,T2d_H_ring_conspiracy_depopulation_2026-09-19_02-56-00,1,1,0,,False
T2d_H_ring_conspiracy_haarp_weather,T2d_H_ring_conspiracy_haarp_weather_2026-09-19_02-55-11,1,1,0,,False
T2d_H_ring_environmental_concern,T2d_H_ring_environmental_concern_2026-09-19_02-58-00,1,1,0,,False
T2d_H_ring_mitigation_first_policy,T2d_H_ring_mitigation_first_policy_2026-09-19_02-57-25,1,1,0,,False
T2d_H_ring_ozone_stratosphere_specialist,T2d_H_ring_ozone_stratosphere_specialist_2026-09-19_02-58-05,1,1,0,,False
T2d_H_ring_science_journalist,T2d_H_ring_science_journalist_2026-09-19_02-59-47,1,1,0,,False
T2d_H_scale_free_biodiversity_food_security,T2d_H_scale_free_biodiversity_food_security_2026-09-19_04-43-08,3,2,0,,False
T2d_H_scale_free_climate_action_advocate,T2d_H_scale_free_climate_action_advocate_2026-09-19_03-57-44,1,1,0,,False
T2d_H_scale_free_climate_justice_youth,T2d_H_scale_free_climate_justice_youth_2026-09-19_03-57-55,1,1,0,,False
T2d_H_scale_free_climate_scientist,T2d_H_scale_free_climate_scientist_2026-09-19_04-45-00,3,3,1,T2d_H_scale_free_climate_scientist_2026-09-19_04-34-58,True
